Comentario,Nota,sentimento
"Quase um filme-ensaio, e estou falando do tipo que fazem Farocki e Andersen mesmo. Para perceber isso basta observar a forma como Fleischer desloca o protagonismo da narrativa das personagens dos dois rapazes para a do advogado que os defenderá no tribunal e, em decorrência disso, imaginar o filme com o título das forças em embate: Séc. XX (na figura de Welles - isto é, do cinema, da ciência, da justiça que afloram, se consubstanciam e se sedimentam após a 2ª Guerra com a tomada de consciência sobre os limites do homem potencializada pela reflexão sobre o holocausto) X Séc. XIX (na figura de Dean Stockwell e Bradford Dillman e do promotor interpretado por E. G. Marshall - isto é, o caso Leopold-Loeb e os últimos estertores do romantismo, do fanatismo, de um pendor elitista e proselitista, um anti-humanismo que ainda sobrevive nos nossos dias, como bem se vê).",4.0,positivo
"ESTRANHA COMPULSÃO, por José María Latorre.
A sangue-frio

A filmagem de Estranha compulsão para Darryl F. Zanuck permitiu a Richard Fleischer pôr em prática os conhecimentos adquiridos na Escola de Artes Dramáticas de Yale no terreno das composições dramáticas: “Em filmes como Estranha compulsão ou O homem que odiava as mulheres, para dar alguns exemplos”, disse Fleischer, “utilizei uma coisa de que gosto muito: descentralizar a câmera, ou seja, desestabilizar visualmente uma cena; é algo que pode não chamar a…",0.0,
"CAME FOR DEAN STOCKWELL, STAYED FOR MORE YOUNG DEAN STOCKWELL",0.0,
If he just didn’t DROP HIS FUCKING GLASSES!!!!,4.0,positivo
welles's rent was due i believe,0.0,
"Descanse em paz, Dean Stockwell (1936–2021).",4.0,positivo
"Un remake non ufficiale di ""Rope"". Ma rispetto al capolavoro di Hitchcock, Fleischer non sottende nessun rapporto omosessuale tra i due psicopatici, e soprattutto si impervia su una strada decisamente più cronachistica che fa distaccare ""Compulsion"" rispetto all'originale, ma che allo stesso tempo gli dona un'eleganza ancora più malsana, che permette al regista di riflettere sulla sottile linea che passa tra la follia e la sanità mentale e tra la giustizia e il crimine, di conseguenza. In alcuni punti ci sono anche già gli echi del cinema di Brooks (perlomeno visivamente, con uno sguardo soprattutto al futuro ""In Cold Blood""), ma soprattutto il regista crea suspense continua tramite movimenti per nulla scontati e anche avanguardisti (tra inquadrature angolari, zoom su dettagli incredibili come nella scena degli occhiali e decadrage molto particolari) della macchina da presa, forse un po' smontata da una parte finale leggermente troppo didattica.",4.0,positivo
"SOBRE RICHARD FLEISCHER, por José Oliveira.
Uns óculos caídos sem explicação na cena do crime. São eles que vão fazer vacilar o crime perfeito. São eles que tudo ensombrarão no último fôlego de uma longa caminhada sobre um abismo de nada. E Deus. E Orson Welles, possuindo um advogado sem escrúpulos e sem piedade e se calhar sem sangue, que é o mais violento ser deste pós-apocalíptico circo, vai fechar o vórtice desenhado por Richard Fleischer em Estranha compulsão, de uma forma e com uma lábia que é inútil traduzir em palavras que diminuam a sua expressão e jogo de cintura. Pode-se dizer que a pressão que mete em quem o escuta, ao dizer que o mal não vai matar o mal, que o poder não se pode comportar como as bestas que praticaram o ato inominável em causa, bestas defendidas por ele, ou, talvez o cúmulo, que levá-los à forca seria regredir brutalmente na concepção e busca de uma humanidade melhor. Discurso, ética e estética que está ao nível do que Chaplin fez em O grande ditador (The Great Dictator, 1940) e que será o apogeu do Welles ator e do Welles encenador, medonha caveira carcomida a insônias.
Super-homem, Nietzsche, indiferença emocional, gelo, desprezo, superioridade, relativismo filosófico, liderança suprema, Moisés, arrogância legítima, virtudes incompreensíveis ao rasteiro... e cada vez mais supremos até de tudo estarem desprendidos. Judd e Straus, o paranoico e o esquizofrênico, querem estar para além ou para aquém do bem e do mal, do certo e do errado, sem cauções de sanidade judicial ou medicinal. Querem-se fundir em um e praticar o mal de cada vez pior, horrífico, limpo, inconsequente. Aglutinação de carnes tenras que compreende o sensível, o moral e, de maneira mais aparentemente soterrada, o sexual. Fortíssimo filme erótico de uma carga e tensão a rebentar as bordas do Scope em constante desequilíbrio. Ora abarcando, ora isolando lá pelos cantos mortos.
Sem paixão, sem amor, sem desculpas. Judd cultiva arrepiantes animais empalhados, Straus brinca com manhosos ursinhos sorridentes. Judd tenta ser mais perfeito do que o mestre sodomizante, mas acaba vergado às confusões e sensações que os olhos e o roçar numa moça loira produzem. Uma espécie ou um concurso mesmo de supradeuses que só finda quando o primeiro for ao tapete ou à ultrarreferida guilhotina. História passional entre dois homens em que o reflexo é história de horror sem causa. O que falhou e os levou ao encarceramento eterno que se revela mais cruel do que a corda que os esganaria de vez?
Uns óculos que vão baralhar e atrofiar tudo, álibis, argumentos, nexos, personalidades? A formosa Ruth fala na infelicidade do paranoico. O Wilk de Welles vai por caminhos patológicos, advogando por amor. Mas neste cruzamento ou atamento entre Festim diabólico (Rope, Alfred Hitchcock, 1948) com os vampiros libertinos e sugadores que Abel Ferrara pôs à luz do dia em O vício (The Addiction, 1994-1995), a escorregadela ou a falha que se detecta mesmo no ressoar derradeiro, aqui a coisa é estendida e distendida e reinventada para lá mesmo do último apito do árbitro, é a sentença privada e noturna de Welles. Muito mais sentenciosa e fatalista do que a do oficial, e que reza, no idioma original, assim – “In those years to come you might find yourself asking... if it wasn’t the hand of God that dropped those glasses. And if he didn’t, who did?” Pumba, “The End”.
Não querendo puxar a brasa a nenhuma sardinha, muito menos ter certezas num palco onde elas estão fora de serviço, faltou aos dois putos espertos e mais ainda ao cabecilha o que faltou ao artista de Império do terror, sendo esta uma rima perfeita ou um chafurdamento mais fundo – o respeito ou a simples consciência de uma possível transcendência, ilógica ou lógica à sua maneira, isto para não usar ou deixar em elipse metáforas ou habitantes divinos. O que transporta este filme para outro degrau ou patamar é precisamente a elevação desta questão ou desta incógnita, infinitesimal ou colossal, a estrados metafísicos, em consonância com todas as verborreias que escorrem no ora metálico ora viscoso preto e branco. Fora ou além da esfera e do peso dos corpos, do dinheiro, da posição social. Em amplitudes que justamente ao evocarem o contrário do mal só para ele caminham e o largam, besta na selva. Mal difuso que se entranha e não se isola do bem. Terror da beleza e beleza do terror, como também lá se diz.
Irracional, inaudito, insuperável. Mente que não calamos, alma que não acedemos, rol de eventos que corre imperialmente, fazendo-nos ajoelhar quando e onde quiser. Fora do que podemos tocar plana o que não podemos tocar. Ou ver. Sentir. O que nos foge ou seca como a água sobre a pele quente. Como pergunta terminal do que andamos aqui a fazer, para quê, por quê. O que Fleischer largou às feras é a impossibilidade da cura. Reconciliação. Abraço. De um modo tão amplo e circular que só podemos responder como responde aquele Straus das certezas todas – de boca cosida.
Confrontar se faz favor, para fins de outro tipo de inteligência, os dois tipos de tratamento da realização, isto é, antes de Welles e depois de Welles, que invade e tudo modifica num rompante sereno. Serenidade filha da puta. Duas partes distintas, duas respirações, duas pulsões. Como se na primeira não houvesse nada da ordem da crença e estivéssemos a flutuar e a pairar num crispado vácuo. Cenas e planos que se chocam e entrechocam, durações e ritmos convulsos, perigoso atrito, olhares desencontrados. E na segunda fossem precisos os caminhos e os saberes, por exemplo, de uma decupagem que permita dar luta ou emplacamento àquele Altíssimo ou àquele Diabo que suga tudo do campo. Olhar encontrado, escansão, movimento e significâncias tão claras como negras. E no embate do claro e do negro estará o tom geral. De onde o choque dual produz o que lá está. Sem resoluções.
[Para outro texto sobre esse filme.]
Para mais textos referentes a obra de Richard Fleischer publicados pela Foco.",0.0,
"Dans sa passionnante autobiographie, Richard Fleischer a déclaré que Compulsion était le film dont il était le plus fier. Prédestiné à une carrière de psychiatre, auteur de nombreux films humanistes et en particulier contre la peine de mort, on peut comprendre ses paroles.
Sa mise en scène est presque invisible mais pourtant très maligne. Il va l'adapter à ses personnages: Artie, mythomane et narcissique, est sans cesse entourer de gens dans le cadre et souvent placé au milieu, comme le leader. À l'inverse, Judd est souvent mal à l'aise, dans les côtés de l'image et parfois même dans des plans débullés. On a même ce plan fascinant au début du film lorsqu'il est dans la salle et qu'on l'observe à travers la vitre où il est à l'écart des autres camarades. Le film est d'ailleurs très froid mais c'est un choix très conscient. Le film est une étude de la violence et des rapports humains. D'un côté, deux jeunes qui n'ont pas conscience du crime qu'ils commettent et de l'autre, un jury qui ne cherche qu'à les accabler, à les voir pendu. D'ailleurs, ce n'est surement pas un hasard si le film se déroule à Chicago pendant la prohibition, théâtre de nombreux sanglants entre gangs.
Justement récompensé par un prix d'interprétation collectif, les 3 acteurs principaux sont géniaux. Évidemment, Orson Welles est le plus magistral. Seulement présent pendant 30 minutes, il est d'un charisme époustouflant. Et dans ce qui est probablement la plus belle scène de la filmographie de Fleischer, il est au sommet de son art lors d'un discours d'une importance majeure encore aujourd'hui.",4.0,positivo
"J'ai toujours aimé Dean Stockwell mais je ne l'avais jamais vu jouer jeune et, sans surprise, il est extraordinaire! Même si la dernière demi-heure appartient à Orson Wells, le film appartient à Stockwell, et plus particulièrement à son regard défiant derrière lequel réside une fragilité à la fois saine et malsaine. Bref, un personnage complexe à l'image du film de Fleischer qui questionne les fondements de la loi et de la justice.
Mention spéciale pour la shot dans les lunettes. Vous verrez...",4.5,positivo
