Comentario,Nota
"""Why God, why?"" was the question I was trying to avoid asking while watching this remake of Lang's 1931 masterpiece, but as in other semi-recent attempts to both see a film for the first time and read it against the grain, I failed to think and counter-think simultaneously. As such, this film comes out pretty lame on almost all accounts, especially since Losey is not just remaking the scenario but literally repeats visuals, compositions, and directions from Lang's movie. Big differences (that are not deficits) include the ending trial, here set in a stage-like and very modernist underground garage, and where the killer, who is notably (and importantly) far more bland than Lorre's monster-looking monster, gets a fascinating and psychologically updated explanation, in a riveting long take. Small differences abound and make the film interesting but not necessarily good: in Lang, the mob utilises their union of homeless to capture the killer, in Losey's L.A., they utilise gangs of greaser teenagers; Lang makes the success of the gangsters' fascisms subtextual, Losey has a cop deploring laws and courts; Lang's studio-bound aesthetic makes the story removed from reality (though not from society) and abstractly set, while Losey uses location settings, including the interior of the striking Bradbury building, to counter this feel; yet the murderer in Losey's film, rather than whistling the classical tune that Lorre did, has a very creepy Pied Piper tune he plays on a flute, giving the character the feeling of existing in a parable. It comes as a big disappointment to this Kubrick fan that Losey had a sequence in a mannequin factory before Kubrick's Killer's Kiss. The movie also features a disappointing but nevertheless rare appearance of Glenn Anders, whose insidious voice and corrupt appearance Wells used unforgettably for the character of George Grisby in The Lady From Shanghai.",1.0
"ENTREVISTA COM JOSEPH LOSEY
por Michel Fabre e Pierre Rissient
Cahiers du Cinéma nº111, Setembro de 1960
* * *
Tradução minha. Também traduzi e postei Conhecimento de Joseph Losey, do Pierre Rissient, e O olho do mestre, texto do Losey sobre Brecht, que aparecem nos Cahiers nº111 e nº114 respectivamente (edições dedicadas uma a Losey e outra a Brecht).
Alguns outros textos em Português dedicados ao Losey você encontra na Contracampo nº92 e na homenagem ao Marc C. Bernard da…",5.0
"putting this off for years helped me to see it as a paranoid thriller in it's own right, apart from lang's classic. losey, who would soon leave the US for good, cast several blacklist victims in the film as if to underline his theme. outstanding use of LA locations such as bunker hill and the distinctive bradbury building, and the unusual decision to use david wayne in the role of the child-killer were master strokes. no one could replace peter lorre so why not go in the opposite direction with the most ordinary looking person? the scenes in the mannequin filled room were borrowed by kubrick for 'killer's kiss' (merely his first losey homage) and wayne's bland mommy-fixated killer prefigures 'psycho' norman bates. the trial scene is still extraordinarily moving, if a bit clunky (even in lang's film). sadly neglected for obvious reasons",4.0
"O grau de extensão da visão e a forma como ela alcança e assimila o campo da ação humana: isso tudo já está dado no plano inicial de M.
A câmera, instalada no interior de um bonde que subirá uma grande ladeira, capta o centro nervoso de uma metrópole. Na medida em que o veículo se afasta do ponto de partida, o que víramos inicialmente em dimensões vitruvianas diminui gradativamente até se reduzir a coordenadas puramente geométricas, marcadas por pontos…",5.0
"""You have to be hurt, you have to be punished in order to be good"".
Geometrically precise exploration of Los Angeles, a beleaguered city lost within violence, hysteria and paranoia, as layers of feeble sunlight give the unsettling ambience of McCarthyism-era United States. Mourlet probably wrote that 'everything lies in the mise-en-scène' after watching this. Who killed our children's hopes?",4.0
"Revendo esse filme pela enésima vez para um texto, e sempre surgem novas observações.
Tem um corte, que não deve significar nada, por si só um mero exercício de estilo, mas que parece exemplar em demonstrar a visão do cineasta para o filme: um dos chefes da organização criminosa está dando ordens a cinco de seus homens, instruindo sobre a perseguição ao assassino. Ele está sentado numa cadeira giratória, dentro do que parece ser um bar (ouvimos, mas não vemos, os sons de tacos de sinuca), e os outros em pé ao seu redor. Ao fim da cena ele levanta-se e, ao sair, dá um forte impulso na cadeira, que gira velozmente, no centro da imagem. Ao redor dela, assustados, os cinco homens afastam-se da cadeira com um salto. Corta para um plano frontal de dentro de um táxi, o pára-brisa emoldurando o quadro, enquanto este faz uma curva fechada.
( youtu.be/CdiOKfDKqP8?t=1879 )
Tanto plástica como dinamicamente os dois planos são completamente diferentes; no primeiro, o quadro é fixo e o objeto giratório está centralizado, e a encenação cria um efeito centrífugo um tanto absurdo, em que os atores parecem se afastar pela força própria do giro da cadeira. No seguinte, temos um primeiro plano fixo, em silhueta, e um fundo que se move como um borrão indistinto linearmente, da esquerda para a direita. A partir destes dois movimentos, Losey constrói um match cut totalmente abstrato, a partir não de semelhanças do que está na imagem, mas da ideia de ""giro"" que depreendemos dela.
* * *
Esse salto abstrato para o plano do táxi, não à toa, leva a uma das recorrentes imagens do filme em que observamos alguém que observa, como o motorista aqui, de costas, em silhueta, com o vidro que separa o observador da realidade, e o chassi emoldurando o quadro.
Deste plano do interior do táxi, em que vemos a rua na altura dos olhos, passando por detrás do vidro do pára-brisa, outro salto abstrato: a imagem, chocantemente avulsa, do assassino sentado no banco de costas para a cidade, com suas avenidas se estendendo até o horizonte. Sem ser possível traçar uma continuidade espacial precisa, entende-se que o táxi está lá, em algum lugar do fundo, mas agora visto de muito longe, apenas mais um elemento de um grande tabuleiro. Deixa de ser aquele carro em específico, para se tornar apenas um carro, um dos muitos que estão agora patrulhando a cidade. O banco, inclinado, sua perspectiva levemente acentuada, sugere algo de instável; entre as suas próprias formas geométricas e as da cidade, algumas árvores, nas bordas do quadro, os separam, enquanto são agitadas pelo vento. A clareza, a bidimensionalidade geométrica da imagem lembram algo dos Lumière de Laveuses sur la rivière, e que Ernie Gehr viria a recuperar mais tarde.
Essa cena, se é que podemos chamar de cena, evoca a relação um tanto ambivalente do indivíduo com a sociedade, algo dado desde o primeiro plano do filme. Ele proporcionalmente gigante, sua presença cobrindo toda a cidade e provocando nela o terror que testemunhamos, ao mesmo tempo que parece ignorá-la, de costas para ela, completamente alienado da realidade, brincando com sua flauta; e a cidade que o persegue e parece aprisioná-lo em suas linhas.
* * *
Outro recurso do filme que parece levar a uma abstração é um uso muito calculado do som em algumas cenas. Ao contrário do filme de Lang, cheio de voz-overs, de falas que escoam sobre a cena seguinte após um corte e outras brincadeiras do tipo, salvo engano neste filme o ponto de escuta sempre coincide com o ponto de vista. Nos frequentes planos em que vemos pessoas de costas, não é incomum escutar um diálogo, de forma que, pelo enquadramento, não vemos a boca que fala. Sem de fato dissociar nada, cria-se uma dissociação perturbadora. Como na cena em que um grupo de cidadãos preocupados reune-se em volta da TV da vitrine de uma loja e, num plano geral onde todos estão estranhamente imóveis, ouvimos o diálogo: ""Como assim, as crianças não foram violadas nem abusadas? / Que diferença faz? Ele as matou, não foi?"". De forma que qualquer uma daquelas pessoas poderia ter sido a responsável pela fala; o enunciador do diálogo é abstraído para toda a população da cidade.
Outro exemplo, não muito depois, quando os pais da última vítima estão no gabinete do comissário, após terem recebido a terrível notícia. O plano sequência começa enquadrando apenas eles dois, sem vermos nem o comissário nem os outros oficiais que estão na sala. Enquanto vemos os rostos inconsoláveis dos pais, a voz do comissário ecoa, descorporizada, uma preocupação que, assim abstraída, ganha um peso que parece ultrapassar os limites diegéticos do filme: ""Podia ter sido a filha de qualquer um. De qualquer um. Ninguém está seguro."" Toda a composição sonora do filme, em geral, parece extremamente minuciosa – outro exemplo, quando o assassino observa o trem de brinquedo na vitrine da loja e, quando a menina se aproxima, o som do trem se intensifica, até que a garota vai embora e é dissipado.
* * *
O chefe da máfia tem a sua inicial bordada na sua camisa, um ""M"".
* * *
Quando o assassino vai pela segunda vez comprar um balão para a sua vítima, o plano começa próximo das mãos suas e do vendedor cego, enquanto é passado o dinheiro e o balão. Por trás das suas mãos de verdade, um grande cartaz com a representação de uma mão anuncia o serviço de leitura de palma.
* * *
Em relação ao filme do Lang, a articulação temporal aqui é bem menos relevante. No filme de 31 há flashbacks, idas e voltas no tempo ilustradas por voz-overs, sequências de montagem paralela, criação de antecipação e espera: os mafiosos aguardando a chegada do chefe; os policiais que esperam Peter Lorre voltar para sua casa; na perseguição no prédio comercial, toca o alarme e os bandidos correm para procurar o assassino antes que a polícia chegue – enquanto que, no filme de Losey, o alarme toca só depois de já o terem encontrado, não contribuindo com nenhum suspense, apenas motivando o fim da sequência e a mudança para o cenário da garagem.
* * *
O assassino, que na sequência de créditos é apresentado como uma força capaz de invadir o espaço vindo de um fora de campo inusitado qualquer, a ameaça de sua presença assim ocupando sempre a tela toda mesmo quando ele não aparece, e que no plano de abertura, à medida que a cidade se afasta e diminui, parece ter suas próprias dimensões engrandecidas. No final da sequência de créditos um zoom ótico nas suas costas, que passam a ocupar todo o quadro enquanto ele observa a próxima vítima. Depois o filme começa de fato com um plano que lembra os que acabamos de ver – o assassino, de costas para a câmera, observa a sua vítima – mas desta vez ele não invade o quadro, está lá desde o início. Mas uma nova ideia é estabelecida: há uma janela que o separa do espaço da cidade e da sua vítima. Ele a observa, então levanta-se, sai de quadro, e reaparece do outro lado do vidro. A cena lembra a abertura de The Prowler, em que vemos a janela do banheiro de Susan enquanto ela sai do banho, e se olha no espelho. Então, olha para fora – quase na direção da câmera – e grita ao ver o ""prowler"", fechando a cortina. Ali, com o olhar da personagem, já denunciava-se a posição de observador passivo da câmera, colocada lado a lado do invasor, e o fechamento das cortinas barrava o nosso acesso através dessa ""janela"", clássica metáfora baziniana do realismo. Aqui já é escancarado que estamos do lado do assassino, e que ele é capaz de atravessar essa janela e invadir o mundo diegético, enquanto nós continuamos como espectadores; mais uma vez a janela do filme não se abrindo para algo além, mas sendo reforçada como uma superfície, a qual não podemos ultrapassar.
* * *
A multidão, a população local: se o início do filme estabelece, através do assassino, essa força ameaçadora que invade o plano pelo fora de campo e, de costas para a câmera, afronta a realidade, as aparições da multidão não fazem mais que ecoar essa imagem. Assim ela é apresentada quando observa a TV na vitrine, no linchamento do velho que cuida da garota de patins, na cena da garagem no final.
* * *
O assassino continua sendo essa figura invasora e insidiosa quando se aproxima lentamente pelo fundo do quadro, na composição em profundidade de campo, para comprar o balão do cego, junto da menina Elsie. Mais tarde há a tal cena dele sentado no banco; mais ao final, quando inicia-se a perseguição, logo a geometria da cidade, que antes era distante, parece engolí-lo, e suas dimensões encontram-se cada vez mais reduzidas, correndo pelas ruas, descendo escadas, espreitando o guarda dentro do prédio; similar aos planos da mãe de Elsie descendo as escadas no início do filme: a figura humana pequena e a geometria uma força engolidora. Na sequência final, temos mais uma vez um plano do ponto de vista do assassino, em que o vemos de costas, em silhueta, com um vidro e uma espécie de moldura na imagem: ele está preso dentro de um conversível na garagem, observando as pessoas ao redor pela janela do carro, pensando no que vão fazer com ele. Então corta para fora do carro, abrem a capota do conversível e o arrancam lá de dentro à força, culminando naquele plano sequência do monólogo dele sozinho ajoelhado, de frente pra câmera, sem fundo, sem nada em volta, se abrindo completamente (no filme de Lang, a fala de Peter Lorre é claramente dialógica, presume um interlocutor, é uma tentativa de convencimento, ele desesperado tentando salvar a própria vida; aqui, David Wayne começa assustado, mas logo parece perder-se em seus pensamentos, um solilóquio; ele acaba aceitando a sua punição, implorando por ela).
Após esse momento de revelação, de presença humana absoluta de David Wayne/Martin Harrow na tela, a turba mais uma vez ataca, a polícia invade, o assassino é preso e o advogado é morto: o filme, em sua composição final, retorna à uma geometria bidimensional nada menos que brutal. A rampa parece dividir a tela em dois: na parte superior, ao fundo, três figuras policiais – a lei a ordem – que guardam o recinto, postadas como linhas verticais, feições indistintas, e uma placa que sinaliza: ""MANTENHA-SE À DIREITA"". Na parte inferior, submetida à vigia da superior, em primeiro plano, à direita, o corpo do advogado que nos fora dado a conhecer e simpatizar – o direito à defesa –, deitado na horizontal, jaz morto. No meio, os dizeres: ""THE END"".",5.0
"70/100

A fairly worthy remake of a classic. Losey's direction is solid, photography is very good and there are some really nice sequences. Obviously doesn't compare to the original but it's a fine work.",3.5
"What are you, a Communist?
Y'know I bet this Joseph Losey guy had some strong feelings about American political institutions. Incredibly tight remake of a masterpiece that more than earns it's right to exist.
Joseph Losey #15",4.0
"I was never even aware that there was an American remake of Fritz Lang's M, let alone that it was directed by Joseph Losey! I suppose if you had to have a remake, you could do much worse than what we have here. Losey lends it a documentarian realism which is a great aesthetic choice for this story of a child killer. But note that I didn't say molester, because they make it clear in this version that he is…",4.0
"De certa forma, o Losey faz nessa ficção coisas que o Brecht fez na realidade:
O processo tinha de ser uma imagem da realidade, dizer algo sobre ela. Havia que construir a realidade no processo.
[...]
Aqueles que consideram o recurso aos tribunais apenas como um ato moral (tanto mais moral quando não acontece por vantagens materiais) dificilmente compreenderão o caráter experimental de um processo que tem como problema a própria moral. Também aqueles que, por experiência, só entendem um empreendimento planejado desde o início e apenas feito por amor à experiência, não perceberão (isto é, não poderão apreciar) um empreendimento como o Processo dos Três Vinténs. É que, para tais pessoas, é difícil compreender que um ato moral se possa transformar lentamente numa experiência sobre a moral. Da mera reação inicial a uma injustiça insuportável resulta um procedimento sistemático que toma por objeto uma injustiça mais geral, melhor dizendo, uma situação social que não comporta atos de justiça e de moral. Ao longo de um tal desenvolvimento, o tribunal transforma-se em acusado que tem como advogado de defesa a ordem social, a qual, por sua vez, se torna então acusada. Pois o tribunal, inicialmente autorizado a fazer justiça, vê-se em breve forçado a pronunciar-se sobre essa justiça. Perde importância o caso jurídico, torna-se agudo o problema da justiça.
[...]
SOBRE A REALIZAÇÃO DE EXPERIÊNCIAS SOCIOLÓGICAS
Falámos de uma ""experiência sociológica"" querendo com isso significar que, através de medidas apropriadas (atitudes apropriadas) se provocam e tornam visíveis as contradições inerentes à sociedade. Uma experiência sociológica deste tipo é simultaneamente uma tentativa de compreender o funcionamento da ""cultura"". Estimula-se o pensamento público, e este assume os papéis distribuídos. Trata-se quase literalmente de um processo de pensamento. A matéria aparece aqui viva, a funcionar, não se limita a ser objeto de contemplação. O observador vive também, e vive os acontecimentos por dentro e não por fora.
[...]
A experiência sociológica é um procedimento que permite mostrar a ""situação da res publica"" no seu desenvolvimento.
[...]
Compreender a experiência sociológica é ""apreendê-la em pontos concretos"". Isto não se concretiza com base num ato contemplativo, nem se dá por encerrado quando se chega a uma opinião. Aqui, a base de atuação deve ser a experiência adquirida.
– Bertolt Brecht, O Processo do Filme A Ópera dos Três Vinténs (assim como no caso do Losey, pouco antes do exílio)
O experimento: abload.de/img/vlcsnap-2021-06-01-01ogkkz.png
E tem até ensaio: abload.de/img/vlcsnap-2021-06-01-011gk13.png
E falando em ensaio e em experimento...
Sua arte [a de Losey] é uma arte de laboratório. Coloca-se um bloco completo de experiência vivida num recipiente. Criam-se as condições mais favoráveis para o experimento. Analisa-se então com precisão todas as relações objetivas que se formam e descobre-se que a luta é a origem vital de toda realidade.
– Jean Douchet, Uma Arte de Laboratório
* * *
Se em The Prowler já havia uma narrativa impelida por uma lógica avassaladora, aqui essa lógica avança um passo rumo à uma pureza, uma abstração, na medida em que lá ela estava colada às manipulações de uma personagem (a de Van Heflin), enquanto aqui ela está fragmentada e dispersa, descentralizada, deixando de existir nas partes para existir apenas no todo. O filme quase não possui sequências até o terceiro ato; em sua maior parte é composto de cenas isoladas, que funcionam como uma série de argumentos encadeados num raciocínio lógico que se desenvolve não atrelado à uma personagem, mas ao ambiente da cidade de Los Angeles, que nunca ganhou tanto destaque e nunca foi filmada com tanto apuro como aqui. A precisa geometrização arquitetônica das composições reforça esse caráter de um palco para um jogo de forças em conflito organizado de maneira lógico (mas às vezes, ao fundo, há algo de inquantificável, e as folhas das árvores se mexem).
Essa ordem geométrica da ordem social que vai rumo a uma abstração é representada simbolicamente de maneira extremamente concreta (e igualmente geométrica) na pirâmide de copos que o chefe da máfia usa para explicar o funcionamento da sua organização.
Uma cena: a mãe na delegacia. Ela, em negação, sugere que talvez houve um engano, talvez a filha ainda esteja viva. Sem dizer nada, o delegado levanta o vestido da vítima, e prova visualmente que a mãe está errada. ""Die Wahrheit is Konkret""!
* * *
Era um princípio com Brecht, e o único com o qual concordo plenamente: no momento em que a emoção interrompe o curso do pensamento do público, o diretor fracassou.
– Entrevista com Joseph Losey por Michel Fabre e Pierre Rissient
* * *
Ainda tentando processar algo em cima disso:
1 - abload.de/img/vlcsnap-2021-06-01-010rjm0.png
2 - abload.de/img/vlcsnap-2021-06-01-01dlkpr.png
3 - abload.de/img/vlcsnap-2021-06-01-01g7ji9.png
4 - abload.de/img/vlcsnap-2021-06-01-013dkgk.png / abload.de/img/vlcsnap-2021-06-01-018aj0x.png",5.0
