Comentario,Nota
"Moral of the story: Never trust a white dude who says ""I hope to be a director very soon.""",0.0
I bet Hitchcock wished he made this.,4.5
"There is always an automatic aura of respect surrounding Powell's films. The attention to detail, the immaculate use of colours and the stunning set designs and mis en scene should garner nothing other than admiration and awe.
Peeping Tom is no exception. It is an amazing visual feast, oozing with luscious primary colours and lighting that makes just about every scene hold a treasure of some sort. Powell's ability to capture and hold your gaze with deftly constructed scenes ensures that, despite the film's somewhat straightforward plot, it is still a riveting film to watch.
Peeping Tom perhaps betrays its age somewhat in the pacing, but it is still an unusually macabre and dark film for that time. It has a disturbed and disturbing villain, who is simultaneously creepy and worthy of our pity. Moving along at a steady jog, the way it unfolds its narrative is mostly tackled perfectly, but sometimes it tends to drag out its ideas a bit too much for my liking. This is a minor quibble as it is still stunning even in its weaker moments.
I loved the unmissable passion for movie making present on a meta level here. The scenes on the movies sets are gems, little pockets of insight into filmmaking in those days and an interesting setting for a story like this. And as simple as that story is, there is still a deeper commentary hidden away if you are willing to scratch at the surface.
Literally turning the camera into a weapon, Peeping Tom almost feels like a satirical comment on modern media. We will watch anything and everything, are covered in an avalanche of reality soaps filled with people more than willing to share all the nooks and crannies of their life. And what do we do? We watch. The media has turned us into Peeping Toms and this film almost seems to ask the question who the real villain is. The maker or the watcher.
I'm leaning towards the latter.",4.5
The killer’s backstory is that his scientist father performed experiments on him as a child that can basically be summed up with “what if I made my son the weirdest guy of all time”,4.0
"patrick bateman:
- misogynist
- won't shut up about huey lewis nd the news
- dorsia this dorsia that
- is insane
mark lewis:
- a simp
- kills women in a non sexist way
- owns a cool collection of film related equipment
- deserved better",4.5
"just a silly man with traumas who loves women trying to fit in, he didn't do anything wrong!",4.0
"The gaze having colonized and replaced, rendering the whole of the body an optic nerve and the eyes no longer the eyes but where the new eye intersects with the transmission of data and of pleasure, the body an extension of the new eye, a system which can record, edit and play back events which use lived duration as another field to extend into and parasitically feed from, remaking it in the process, subsumed within and consumed there at leisure. The new eye is atop the pyramid, severed and floating above, everything which is only its base, what it needs to form a whole which it can then replicate and feed back onto, forming a totality from which to gaze out from, to forever mark that outwards as its domain of operation, a newly ravished corpse caught eternally in the act of so becoming.",5.0
"Shocking first to see the familiar Archers logo with just Powell and not Pressburger’s name in front of it. Then even more shocking to begin with a scene of a sex worker being murdered, told from the camera’s POV, with pockets of charcoal blacks added to the usual saturated color palette. Welcome to the ‘60s.
A prescient movie. This started to be discovered about 20 years after its disastrous initial release when Martin Scorsese became its de facto sponsor, and articulated the metaphor for directorial obsession that was laying there in plain sight. I’ll bet that even more people can identify with this movie now that we’re all amateur film directors with our iPhones - constantly photographing people and moments as a way to preserve them, control them, manipulate them, or just prove to ourselves and others that they existed.
I remembered, of course, that the camera is basically the guy’s dick, but I forgot that he actually has a murder weapon hidden in the tip of the front leg of the tripod stand, which he’s always raising slowly at a suggesting angle and caressing.",0.0
"""Mark are you crazy?"" -Co-Worker
""Yes... do you think they'll notice?"" -Mark
A tripod blade is a pretty sweet weapon for a serial killer.
I'm a big slasher fan but I've never watched Peeping Tom and I don't really know why. It's one of the first films to feature a serial killer and do the story from the killer's point of view. It's arguably the first slasher even though I would call it more a pre-cursor to slashers. In addition to all these things about Peeping Tom it also happens to be an interesting and really good film about a man's obsession with fear. It's creepy, it looks good, and the script is fantastic.
Everything about this film looks cool from the opening credits to the closing moments of the film. I love how you view so much from the perspective of the killer when it's time for violence to occur. Peeping Tom looks like it takes place in a slimy off broadway theater with poor lighting and I'm down for that look. The sets are sophisticated sleazy executed with great detail and beauty... it looks like it is supposed to look. The use of color is great in both the sets and costumes... which are to die for.
This movie is great scene after great scene. There is a super long part in the middle of this film that I can only describe as fear seduction porn where the killer is slowly trying to get the fear that he wants out of a woman. While it is more subtle than what would be done today it is creepier to me than anything that you find in modern horror. It's a very interesting demonstration of how you don't need to show a lot to make something anxiety-inducing and I appreciate that...don't get me wrong I love gore but to me this is also very fun.
The script is just so clever with so many interesting characters. Like each person, no matter how small in role, has something peculiar about them that makes them memorable immediately and that's a combination of dialogue and great performances. Karlheinz Böhm is standard setting in his role as Mark, your average neighborhood fear-loving serial killing photographer. You end up feeling strangely close to Mark, despite his tendencies, and that's a real difficult thing to do with a film like this. I like the slow tense build to the conclusion, which is satisfying and earned.
A foundational piece for crime, horror, and thriller fans.",4.0
"”I don’t want to spoil anybody’s fun,
but we do have a maniac on our hands.”

Dear Michael Powell,
This is to inform you that it has come to our attention that you are obviously way too far ahead of your time, and therefore you must be punished.
Regretfully,
1960

Cinematic Time Capsule - 1960 Ranked
Martin Scorsese’s Favorite Films
Roger Ebert’s The Great Movies Volume I",4.0
