Comentario,Nota
"ME SEEING JOHN CAZALE: Uh, weird guy
ME READING THAT JOHN CAZALE WAS MERYL'S HUSBAND WHO WAS DYING OF CANCER AND SHE ONLY TOOK THE THANKLESS GIRLFRIEND PART IN THIS MOVIE TO BE BY HIS SIDE 24/7 IN HIS LAST DAYS: Oh 🥺
The Deer Hunter ends with Meryl singing and a freeze frame. Four stars!",4.0
"One of the first films to employ Vietnam War into its premise, The Deer Hunter tells the story of a trio of young factory workers in Pennsylvania who enlist into the army to fight the ongoing war in Vietnam, only to discover that war isn't a noble venture they imagined it to be but a hellish chaos which ultimately ends up completely changing their overall personalities.
The film features a three act structure, with the first act introducing its three primary characters, their friendships, the women they are in love with & their perspectives on life. The second act is set in Vietnam and covers the brutality they undergo there. And the final act depicts the massive change war has brought into not just their lives but also the society they are part of as a whole.
Michael Cimino's direction is good in parts, camerawork & music are also a plus and the strong cast of Robert De Niro, Christopher Walken, John Cazale, Meryl Streep & others do chip in with sincere performances but compared to the reputation & acclaim this film has enjoyed over the years, the experience of sitting through this snail-paced war drama didn't turn out to be even remotely satisfying.
The Deer Hunter isn't really a war film but a tragic drama that aims to portray the personality change something as gruesome as war can bring in not just those who serve in it but an entire community which I actually appreciate but for the majority of its runtime, this film is a pain to sit through. It is over three hours long which is strongly felt and it's filled with characters who aren't that interesting anyway.
It opens with a wedding sequence which, for a while, felt like would go on forever. The second act, set in Vietnam, is the only part that had my attention & the Russian roulette scene is easily the film's best moment, for it is extremely intense & brilliantly filmed. The final act is a disappointment again where we are supposed to draw a comparison with the first act and that's all there is to this story.
On an overall scale, there are moments of brilliance within the film yet for the most part, The Deer Hunter remains an underwhelming cinematic experience that's awfully boring, is far too long, presents a one-sided view of war, requires its audience to suspend disbelief greatly, and in my humble opinion which you don't have to agree with is one of the most overrated films ever made.",2.0
not enough robert de niro schlong,3.0
"The first half is a bit serious, with the second half a lighthearted trip down easy street. I recommend watching for a time where you need cheering up, and hang on in there till the end.",5.0
Jesus Christ.,4.0
"""I like the trees""
:(",5.0
"A group of Russian friends travels to Vietnam in order to popularize the national sport, Russian Roulette.",4.0
"This movie made $50 mil at the box office, selling roughly 21 million tickets. More than F9, JOHN WICK 3, BLACK WIDOW and countless other blockbusters today. I thought of that and how some people within the industry complain that the Oscars doesn't award popular films anymore, as if this wouldn't be lucky to make $12 mil at the box office today if it got a theatrical release at all. It's the audience that abandoned good films that's the problem,…",4.5
"Is that Russian Roulette Vietnam movie really the classic many people remember it being?
In High School I was really into checking out Best Picture winners so I gave this one a rent, and only I recalled the wedding, the roulette games, and De Niro hunting a deer. I think that's what most people would remember about it, and that's because much of the rest of the film is a bunch of fluff, and is way longer than it needs to be. Did Director Michael Cimino think his movies had to be as long as possible in order to be good? Well with this being 3 hours and 'Heaven's Gate' 3 hours and 45 minutes, I guess so.
So why did this win best picture in 1979? I think it all comes down to the movie's excellent cast, the intense Russian Roulette scenes, and the fact that it was one of the first films to depict the Vietnam war as a tragedy. I think those elements came together just right to cover the major flaws of this supposed classic anti-war film.
Let's start with what I think about The Deer Hunter, since I like to be positive.
I think Cimino had an eye for great eye for visuals, and there is some breathtaking cinematography in this film. Some of my favorite shots include the melted steel and sparks in the factory to start the film, the wide shot of the of the hill De Niro climbs over while hunting, and the rest of mountain vistas during their hunting trip.
Cimino also peppered in a couple really simple but effective symbolic moments to make the film more thought provoking. These instances include the spilling of the wine at the wedding, the foreshadowing of the war from the solider at the bar, and De Niro's final showdown with a deer.
Relatable character moments or just lazy writing?
The Deer Hunter is praised for how it takes so much time to establish its characters. But are scenes with a bunch of guys talking to each by constantly dropping F bombs, singing at the bar, and giving each other a hard time ... really great character building moments?? IMO way too much screen time is spent toward getting the point across that these are simple blue collar guys, whose world is about to get rocked by the horrors of the Vietnam war. I don't mind slow burning films, but this feels intentionally stretched to the limit. The only really memorable conversation I can recall is where De Niro talks about just one bullet, mostly because it is one of the key themes of the film.
The cast and the acting is great but the writing does not flow at all, and feels so clunky and stuffed with filler. For instance, the pointless scene when they arrive at their hunting spot when De Niro starts complaining about Cazale's character not being prepared. Or how they go on and on about pretending that they will leave one of the friends behind by driving off when he goes to use the bathroom.
This was John Cazale's last role and he does a great job at playing his usual mild mannered character, that is a bit of a screw up. It was definitely a brilliant bit of casting to pair De Niro and Cazale together to make you think about watching a great movie like 'Godfather Part 2', while The Deer Hunter meanders along.
The story requires there to be some tension between De Niro's character and Christopher Walken's character in order for De Niro to leave him behind in Vietnam, despite promising that he wouldn't do that. To create this tension Meryl Streep is added as plot device to establish this love triangle. This may have been an interesting dramatic element if the wedding tied into this love triangle, but no that is for the third character played John Savage that is significantly under used.
It is made very clear that the character's we are following are of Russian heritage. This can be noticed from the architecture of the Russian Orthodox church they show several times, the traditional Russian dancing at the wedding reception, and giving a Russian toasts while drinking. I find Russian culture to be fascinating, so this was appealing until I started to think why Cimino selected Russian. And I think it is blatantly obvious that this Russian culture element was just used as a parallel to the Russian Roulette games later in the film. And I find it to be horribly tacky that they strung those elements together.
For a movie that takes so long to establish its characters, it spends no time setting up their involvement in Vietnam, which makes the situational awareness of this part of the movie make no sense. The only setup we get in Vietnam is a wide shot with some explosions. Then suddenly all three friends are some how all in the same POW camp. The majority of the scenes of the war are all stock footage, which sticks out like a sore thumb compared to what they actually shot for the movie.
Spoilers..
The roulette scene itself is the highlight of the film, but in hindsight it becomes really predictable which hurts the films re watchability factor, and I had not seen this movie in 17 years.
So the film tells us that De Niro comes back home a changed man, but for me he appears to be the same hard ass he always was. The only difference is that he no longer wants to kill deer, since he sees the value in life after being in the war.
We find out the marriage that the majority of the movie was spent on is now estranged. That's because after returning home, John Savage's character spends all his time at a veterans hospital because he can't deal with being at home since he lost his legs. This was a dramatic element that I had to go back and rewatch, to piece together how he apparently busted his legs on some rocks when he fell from the helicopter.
De Niro goes to the hospital to see him, but then finds out that Christopher Walken's character has been sending him hundreds of dollars. So we are meant to believe that Walken who was left in Vietnam has supposedly survived months of playing Russian Roulette? So then De Niro some how arranges his casual return to Vietnam, apparently during the Fall of Saigon, one of the most chaotic periods of the war, to go save Walken. We find out that Walken at this point is too far gone, and now since he is playing against De Niro he is able to lose a game of roulette and shots himself in the head. My suspension of dis-belief is typically pretty high in movies, but how this part of the story is cobbled together is just garbage.
I had recalled that the final shot of the movie was that great shot of the deer being spared, but the movie actually ends on another poignant moment. That's when the whole group of friends gather at a table to mourn the death of Christopher Walken's character, and they start to sing God Bless America. With the overall tone of the film, I feel this was done as an ironic jab to show the character's disappointment in their country that entered into this war that forever changed their lives.
I listened to Michael Cimino's speech at the Oscars when he won for Best Director for this film, and all he did was thank his actors because that roulette scene was likely the reason he won. This bothers me since a year later the superior Vietnam movie depicting the madness of war, 'Apocalypse Now' did not win, likely since 'The Deer Hunter' stole its thunder. Then consider how truly iconic Directors like Stanley Kubrick never won a best Director Oscar, but Cimino some how did?? I do plan to check out the rest of the films nominated that year to see how they compare.
I analyzed Cimino's next film 'Heaven's Gate' a few months ago and it largely has the same issues with really clunky writing, an overly long story, but with the occasional great set piece, and some excellent cinematography. I would hate to call this guy a hack, since he did have a great vision for the films, but he really should have been working with a great writer to help him tell more concise stories. But instead he got all this acclaim for The Deer Hunter, and then got exposed during the difficult production of 'Heaven's Gate', which ruined his career.
Overall The Deer Hunter is just an ok movie that shows the brutal impact of war, but I think it was seriously overhyped when it came out and that legacy has followed it to this day.
“I'll be back.”
- The Terminator
Happy movie watching ... SKOL!",2.0
"""A blessing on the hunter sent by the Great Wolf to his children."" Seduced and abandoned by myth.",4.5
"With director Cimino's recent death and his reputation in tatters since the debacle of 'Heaven's Gate', I decided to visit 'The Deer Hunter'. Though over three hours long, it's astonishing, paced so achingly right and I can see why he rightfully earned the 'carte blanche' that would unfortunately lead to his downfall (as well as an entire studio's) as soon as he made his next film. But to reach such heights and to have such ambition--as well as undeniable talent--is a victory in and of itself. Just armed with the main five actors alone, at the zenith of their craft, a fine script (really the first interesting and well-deliberated Vietnam film to hit the big screen) and Vilmos Zsigmond behind the camera meant that this would prove something special. Scenes that will haunt you forever. My favourite shot is the incredible 360-degree pan shot around Linda's bedroom when she realizes she's given up on Nick and is going to declare her love to Michael--extraordinary stuff. What's YOURS?
Many film lovers who despise Cimino's work instantly clam up when 'The Deer Hunter' is mentioned...and there's a reason for that. It's deservedly considered one of the finest American films of the 70's--a decade that was chock-full of great ones.",5.0
