Comentario,Nota
"never trust rich white atheist college boys that quote Nietzsche’s superman, debate philosophy in the abstract rather than the real, believe in superiority, inferiority and only trust friendships to “intelligent” people, devalue and depersonalise human existence
also don’t trust ones that murder and attempt to rape women and cooperate with the police",4.0
"Two young men one day decide to commit a heinous crime for leisure. Now it is a lawyer's turn to find some humanity in an inhuman case.
This is, in many respects, a straightforward courtroom drama. Good framing helps us understand the characters' inner lives without calling attention to the camera or editing, which both remain unobtrusive.
Speaking of performances, everyone does a terrific job, especially our crooks, capturing the sociopathy and even the tragic end result of one of the parties. While Orson doesn't have a huge role, his closing monologue is not only thoughtfully crafted but also performed brilliantly in a manner that's in keeping with the rest of the movie's understated yet powerful manner.
All in all, in many ways, this is a hidden gem that fans of legal dramas will certainly enjoy.
TODAY SCHEDULE
Compulsion
Crisis
Knock On Any Door
World for Ramson",3.5
"So before we start, I am watching this on a sublime looking blu ray. The old Fox restoration department had done amazing work on their library, I will be honest, i prefer black and white stock, and the shading and tone looks beautiful here, like most of the old b&w films i have from that studio. Hell the definition of image is so strong you can see the make up blotches on Dean Stockwell's cheeks.
So I have seen Rope and Swoon, but i have always preferred this one, it seems the middle point between the two, where there is enough nudge nudge wink wink for the time, to imply the relationship between the two, hell even a load of hooded KKK members turn up to burn Welles lawn for taking the case (or his previous civil rights cases but Welles is meant to be playing Clarence Darrow here).
Also this has the 20 min plus Welles masterclass monologue on ""Justice"", which echos the narration from The Trial. This was based on the apparently eight-hour summation, which Welles doesn't miss or real take any hostages on his delivery of it.
Dean Stockwell should also gets props for being such a cold calculating psycho at that young of an age.",4.0
"some unordered THOUGHTS:
- orson welles is the unmatched king of popping up in a movie halfway through to derail things!
- my number one boy dean stockwell makes an incredible new addition to the men fainting cinematic canon. good for him.
- to add to list of questions to ask iconic recluse donna tartt: have you seen COMPULSION, and if so, is it a big fave slash did you see it before writing THE SECRET HISTORY??",3.0
delete the orson welles monologues and you have a gay CLASSIC,3.5
SHOULDN'T HAVE DROPPED YOUR GLASSES MORON,5.0
"Leopold & Loeb movie marathon, movie number 2.
I didn’t like this one and it surprises me because I love movies from this era, it felt dull and boring for the most part. It probably is the closest to Leopold & Loeb yet makes for the least interesting movie of the lot.",2.0
Who lied and told these people that orson welles mumbling his way through a lazily written monologue was an effective final act,3.0
"E.G. Marshall is by far the greatest actor in taking off and putting on his glasses. Tough luck, guy from CSI: Miami.
Even though, i wouldn't say Orson Welles is actually starring in this movie his performance certainly left the biggest impression on me. An Atticus Finch moment if ever there was one climaxes this movie like a bitch. For a more compelling argument against capital punishment, I would actually have to read Camus or Dostojewski again and I have decided quite a while ago that ""movies are more of my thing than those so called books"". Bradford Dillman is haunting and Dean Stockwell compellingly gullible and smart at the same time. I don't know how he does it. There's also some BDSM slave/master thing going on between the two, which is fine for the bedroom but not in the way they're doing it.",4.5
"My clients were simply tweaking off the bean, your honor",3.5
