Comentario,Nota
"100/100
Opens with the view through a one-way mirror, which turns out to reflect the film's very structure. As a young man I was enthralled by the way Egoyan withholds information, encouraging you to make assumptions that turn out to be significantly less twisted than what's actually going on; arguably no other movie has woven so many arresting, initially inexplicable strands into such a richly satisfying narrative tapestry. But that sort of gamesmanship, however brilliant, doesn't explain the full-body chill I still get from the final shot, 18 years and at least five viewings later. ""You have to ask yourself: What brought the person to this place?"" And while we eventually find out all about Francis, what gives Exotica its unique power is Christina's all-but-unacknowledged role in their symbiotic relationship, the entirety of which is implied by her slow, reluctant walk up to the path to her house in the closing flashback. Only cinema can create an effect like this—any attempt to put the shot's troubling implication into words would render it instantly banal. (I suspect Egoyan put a lot of work into finding just the right house; something about the way it's framed by those two trees creates the impression of No Escape.) And then there's the whole denial-codified-by-demented-ritual aspect, which speaks directly to my nervous system for reasons I'm frankly too scared to investigate. And Mychael Danna's astonishing score, with its discomfiting mixture of familiar and foreign instrumentation and rhythms. And Bruce Greenwood investing a seemingly unplayable cipher of a character with heartbreaking spasms of raw emotion. Shout-out to Sarossy, keepin' it unreal. There might be four or five movies I love more than this one. There might be fewer.",5.0
"somebody on here dinged this as a ""tv detective"" story instead of i guess pure uncut glorious art-house cinema or whatever but i think the stuff that keeps it from being totally pretentious or oblique is what i love about it. thoughtful, delicate, kinda like a canadian almodovar, with as much to say about the transactional nature of relationships as fassbinder or eyes wide shut but with empathy & curiosity instead of nihilist resignation or camp horror. in a dumber movie bruce greenwood's character would become a bronson type vigilante instead of turning inward - its an emotional terrain i cant remember seeing a movie confront before. i know a couple other egoyans but tell me where to find more stuff like this!!",5.0
"indescribable, a tale constructed solely by emotions and empathy, everyone is connected by tragedy, by the terrors of the past and the despairs of the present. exotica is a place of entertainment, not healing according to the owner but this is the only place everyone here has, to escape, to find connection, to try and achieve a form of therapy. and by the end, i was left in a state of profound sadness with tears in my eyes and all down my face. a film of such power that all i could do when the credits rolled was take the disc out, put the dvd back on my shelf, put my headphones on and sob for 10 minutes straight. and as i write this little thing now, i picture the images in my mind and see the pain conveyed and all i can do is try not to let my tears hit the keyboard. utter perfection.",5.0
One of those dreams where you wake up crying.,5.0
"Movies about the transactional nature of sex are a dime a dozen, but I've never seen one home in on the way that it is used not for capitalist subsistence but emotional survival. Though it unfurls as something of a puzzle that slowly connects each character (and this is about as great a ""network narrative"" as you're likely to see), it really takes its power from how deftly it shows the bitter irony that only human social life in which everyone is more intimately connected than they could possibly fathom could produce such loneliness. There are so many ways this movie could have taken a direction that would result in something still good but more recognizable and digestible, but instead Egoyan and his actors keep deepening the ambiguities and troubling implications of codependent need even as relationships become more defined. That final shot, at once tender and utterly horrifying, snaps Francis and Christina's bond into focus even as it leaves you wondering anew just how much each is using the other to survive, is one of the greatest, saddest things I've ever seen.",5.0
Leonard Cohen-themed strip club.,0.0
"This is everything I wanted Crash (1996) to be. Egoyan attempts Cronenberg and excels with his unique psychological stamp. It is not the director's masterpiece, but the specially crafted environment engulfing the darkest and equally complex spheres of human impulses is intoxicating, especially the dissonance achieved between the darkness of it all and the insightful poetry of the soul. Sublimely filmed with a masterful cinematography and very few cuts, Exotica takes a deep dive into the irrational side of human beings while following the director's patterns: vicious cycles, intended repetition, and juxtapositions between past and present, the former to shine a brighter light to the latter. Obsession, dependency and the psychological trauma of disguising the past with the present as if it still was is ultimately haunting. Magnificent finale.
96/100",5.0
"Was charged recently with putting a list together of the all-time great Canadian films and I put this on it completely based on memory. A revisit has been gnawing at me ever since so I thought it was finally time to make use of that new Criterion Blu-ray (that I had to import from the US due to it ironically being unavailable here), and am happy to report that the new restoration looked as mesmerizing as I hoped it would. Maybe I’m a sucker for the Toronto location but genuinely think this is one of the most beautiful movies ever. 
The anti-erotic, arthouse fantasy atmosphere of this has always drawn loose comparisons to Cronenberg and Lynch but I think mostly due to how genuinely strange and unquantifiable it is. There is something truly unique and radical in how it creates this completely artificial, transactional space of a lush, ambient, ""foreign"" sex club where real feelings of pain, loss, longing, and obsession take the shape of a dreamlike incestuous exorcism; a perverted form of healing via the intimate, fetishistic recreations and rituals of a deeply troubled father desperate to return to a home that no longer exists.
Egoyan's choice to keep this narrative about the bizarre co-dependencies and messy embraces that form around tragedy almost entirely fractured, ambiguous, and elliptical right up until the final frame (structuring the film, in his words, like a striptease) is both deliberately frustrating/anti-climactic and far more rewarding than if it were told straightforward. The way repetition and cross-cutting are deployed is nothing short of entrancing (the way certain framing/camera movement is recreated as much as the situations themselves!), developing a contradictory environment of repression and affection in tandem with one another, and it has one of the best uses of a recontextualizing, ""twist"" flashback maybe ever. ""You have to ask yourself... What brought the person to this point, what was seen in his face, his manner, that channeled him here?""
Been racking my brain trying to think of a movie moment more Canadian than the one in this of Bruce Greenwood's CRA auditor watching a Toronto strip club routine set to Leonard Cohen's ""Everybody Knows"" and MC'd by Elias Koteas (Don McKellar sneaks in there too). Also, just one of the best scores?",5.0
"Watching the mystery slowly unravel was a stunning, captivating, yet utterly devastating experience I won’t soon forget.",4.0
"“I’ve had too many special things taken away.”
Trauma is annular. Once the brain experiences a shock so prodigious, it is permanently altered in how it operates. Where there was once a way to escape from the pain of life, there is now an enclosed ellipse that manifests responses to this pain in a way that is unique for everybody, and someone who hasn’t experience it cannot possibly fathom its depths. One individual may externalize their trauma, expressing it openly, while another may retreat from the torment that plagues every moment of their life via a carefully constructed fantasy.
Animals who have lost their offspring will often take under their wing the young of another who either died, or were themselves not fit to care for their own progeny. Exotica explores two key themes: trauma manifestation and bonding, and human beings in a most primal, instinctual state, frequently as a result of this very trauma one or more people have suffered—sometimes connected, sometimes not. It seems Egoyan is attempting to portray us as the complex and “exotic” creatures that we are (exotic in a more literal sense i.e. out of the ordinary). If this is true, then the most exotic human beings are those who have experienced the most awful things and are now forced to continue on living with them. You could almost see it (continuing with the “exotic” ideology) as the distinct color pattern of a rare bird or the distinctive qualities of their eggs. The two main ideas unpacked in the film are, in actuality, one interconnected, universal concept: when a person undergoes a traumatic event, it is something that not only makes them totally unique, but can bring them together with others in ways that may seem off to people who don’t understand, but are the only rational solution to those who relate.
Each character in the film has to deal with their own emotional baggage stemming from either an isolated incident or a collectively traumatic occurrence, and we see how—depending upon how these things affected them—they respond either internally or externally, by themselves or as a group. Egoyan masterfully withholds from us, allowing us to come to initial conclusions as to what may be going on between these people for a majority of the runtime. There are sinister implications laden throughout that seem to be purposefully placed for the viewer to cast their own aspersions about what these people may or may not be up to. As the story unfolds, we see how wrong we have been, and how there’s no way to imagine what is really going on here, because the only way one would know for sure is to have experienced these exact same events themselves. To be shown this cinematically is nothing short of earth-shattering, and a damn fine example of transgression with a purpose. Even in the final moments, Egoyan exercises restraint, making the implications of Christina’s past and the final shot all the more harrowing.
Exotica deals in circles: the circle of life, that of trauma and, on a technical level, narrative. If an idea or preconception is natural, then the next logical step is to shatter it; to completely break away from expectations—the same way trauma shatters the mind and breaks one away from life as they knew it, changing their perceptions and experience of reality entirely from then on.",5.0
