Comentario,Nota
"Feels light years ahead of its time in dealing with topics like toxic masculinity, victim-blaming, and PTSD, although weirdly ends with the protagonist still not quite able to make her own choices. Nevertheless, Lupino's contribution to cinema and her forward-thinking and willingness to take on taboo subjects is pretty remarkable for the time. Maybe hopefully someday someone can write about how outdated and passé this film is, but unfortunately that time isn't now.",4.0
"Action! - Female 4 Front: Breaking Grounds With Ida Lupino
Ida Lupino returns with a film co-written by the actress and which at the time was somewhat controversial as it was apparently the second post-Code film to touch on the subject of rape in a way that many may see as outdated, but which in context works, not only in the form of discussion (which may well be somewhat superficial), but as a mechanism for creating suspense and adding psychological value to the film, at times giving it a touch reminiscent of Hitchcock's work.
Mala Powers, in her first major role, does an excellent job of depicting our character's fall, displaying both her fragile and charming side as well as the horror of the attack she underwent. Lupino's camerawork, with its closeups and angles, and the music all contribute to the psychological depth of her performance.
All in all, a really good take on the matter with enough mystery and suspense blended with some film noir elements for good measure, resulting in a film that I will recommend watching for those into any of those genres.
TODAY SCHEDULE
Outrage
Queens Logic
Soong Sisters
Eye of the Tiger",3.5
In Ida Lupino We Trust.,4.0
"I decided to have a break from being served up substandard westerns from Film4 and TCM today and took matters into my own hands to try and find some older stuff that was available on YouTube instead. I'll do what I want.
Outrage was a very recent watchlist addition from when I was reading Ida Lupino's Wikipedia page. As is the case with any film that has a crime in it made from about 1939 to 1960, it's often been labelled as a film noir but really this is nothing like a film noir at all. Instead, it's a groundbreaking and controversial (for its time) film about a young woman looking to rebuild her life after suffering a serious sexual assault or rape.
This being 1950, nobody is allowed to say any such thing. Instead they say she's been ""attacked"" and the poster itself says a similar such thing. I do wonder how Lupino felt about the Hays Code restrictions she has placed on her here, which also probably inform the somewhat misleading title as well. Even within those restrictions, she has fashioned a sometimes incredibly powerful film that touches on a remarkable number of themes for a film as comparatively early as this.
This is not a film that chooses to go down the route of tracking down Mala Powers' 'attacker' as it looks, early on, as though it will do. Instead, it focuses completely on Powers' struggle to continue with her life one way or another. This all happens after the scene in which she's attacked. Played out with no soundtrack at all, it's one of the most unbearably tense and horribly grim scenes I think I have ever seen in a film from this era.
Thereafter, Lupino does not try matching that scene for suspense, mainly because that's not what her intentions are for this film anyway. Instead, she touches on feelings of alienation, paranoia, displacement, guilt and fear of physical contact from both men and women - covering so many of the psychological effects suffered by survivors of sexual violence. And she does all this in a 75 minutes running time.
Outrage only stumbled somewhat at the end when Powers brains a pushy bloke with a wrench, nearly killing him, only to have clergyman Tod Andrews, who has helped her to restore her social confidence and provided her with support, to insist the chap in question ""....meant no harm"". That left a slightly sour taste although, in fairness, Powers still hadn't told Andrews what she had been through at this juncture. Andrews also gets a courtroom soapbox moment that is well meaning but sounds very quaint and melodramatic in this day and age, and Powers being essentially forced to return to her home town and family was slightly difficult to swallow.
If it wasn't for the last 5 to 10 minutes here, Outrage would be a film I would have absolutely no question in claiming as something of a lost classic. However, it is still powerful today, containing a perfectly vulnerable performance from Powers, and resisting the seemingly obvious plot directions that almost all other films of its time would take. Lupino's career as a director is in need of far more attention than it has received in a very long time.",4.0
"one of the most aching films about trauma and how it ripples through our lives, without even being allowed to explicitly state that its protagonist is raped",4.5
"Spoilers & discussion of sexual assault ahead.
The best thing about Ida Lupino's Outrage is its ambiguity. Exploring the aftermath of the rape of a young woman (Ann Walton, played by Lupino favorite Mala Powers), the movie is loaded with people whose motivations and natures are never entirely clear.
Why does Ann's father say he's ""frightened"" about her taking the bus to work on her first day back after the assault? Is he worried about her mental health? Her physical safety? Or is his concern about what people might think of a father who allows a girl to go out on her own, so soon after being rape?
Why is Jim so determined to marry Ann as they had planned, despite what happened to her, and her resistance to his newfound urgency? Does he believe that traditional, marital normalcy will make everything better for the woman he loves? Is he worried about how he will look to their neighbors if he wavers? Or might he fear that he will waver, if he allows himself time to think?
And why is Pastor Doc Ferguson so interested in Ann? Is his attention predatory? Romantic? Altruistic? All of the above?
What is the place to which Doc has brought Ann, found passed out on the side of the road? Why is the woman who owns the place so strangely distant and wry about the entire affair? And what is ""The Harrison Ranch""? Is it a working farm, or is that a dark euphemism for a house of prostitution?
All of these questions and many, many more are unavoidable while watching Outrage, and it's to Lupino's immense credit that she never explicitly answers any of them. We learn from the behavior of the people with whom we're allowed to spend time and can draw tentative conclusions, but uncertainty nevertheless abounds. Doc's motives are never entirely clear, and we don't learn anything about either Ann's father or her fiancée — when she returns home to them, our questions remain unanswered, and are presumably still present in Ann's mind, as well.
Where this crucial complexity is lost, however, is in the film's final act, when its wheels unfortunately come off in significant ways.
Having been approached in a repellently presumptuous, physical, very aggressive manner by a stranger at a community dance, the quite literally trapped Ann, who is on her back on the ground, unable to get away from the man who looms over her, strikes him with a wrench and runs, putting the man in the hospital and herself in prison.
While, to modern eyes, the wrenching (LOL) irony of the scene — the victim of an assault that was going to get a lot worse, and a lot more physical, being labeled a criminal for defending herself — is abundantly clear, as it likely was to women in the audience in 1950, unlike the rest of the film, the scene is not left open to interpretation. Instead, Doc — Ann's confidant, and a pastor besides, as well as the film's sensitive arbiter of goodness, gives Ann his heartfelt assurances that her attacker ""meant you no harm,"" offering as evidence the fact that ""I've known him for a long time.""
It would be wonderful if the film gave us the space to question Doc, and recognize his brainwashing by the system in which he lives when it comes to what we today call toxic masculinity, but I don't think that's offered. Instead, he remains the voice of good sense and moral authority throughout the final act of Outrage, making a heartfelt plea for psychological treatment of criminals, sensitive treatment of Ann, and arranging for her attacker to be lionized for his agreement not to press charges against her, something that will no doubt clear the ground for him to continue forcing himself upon unwilling women.
I recognize that the film for which I was hoping likely wasn't possible in the US in 1950, but the intelligent, layered nature of the first two acts of Outrage shows such a strong awareness of the minefields through which women constantly move on the part of Lupino and her co-writers Malvin Wald and Collier Young, that to have that nuance and understanding suddenly vanish at such a crucial moment was an immense disappointment.
⏩ 52 Films by Women: watchlist | seen",3.5
"An astonishing drama, with a very powerful performance from Mala Powers. Way ahead of it's time, this film was the first serious attempt from Hollywood (well b-pic) to discuss the ramifications of rape.
Ida Lupino constructs an amazing drama, which for the period is a very subtle, sensitive and non-sensationalist, examining of a very tragic and serious subject. The film does calls this ""assault"" but it was 1950 and minus that, everything else is treated with a very weighty tone.
Visually this is sparse film-making but Lupino is excellent is shot construct and her use of angles. Same with the editing, possibly this is the most tightly edited 75 mins I've ever seen.
A very worthy drama and very worthy of your time.",4.0
"(...) Se acabamos arrebatados por sua sinceridade é porque ela nos permite ver mais profundamente aquilo que merece ser visto: a serenidade, o mundo sob o olhar de alguém que procura a paz, conquistado somente após sermos privados desse equilíbrio por uma experiência extrema e terminal – que mais que o assunto do filme é a própria substância de sua matéria – cuja conclusão nos eleva e faz com que reencontremos nossa consciência, agora mais forte e sublimada por esse contato com as formas concretas de um mundo que, mesmo pleno de arestas, acolhe-nos.",5.0
"Is this why you raise a daughter? Is this what you love and sacrifice for? What kind of times are these that such things can happen?
The topic at hand is so heavy that it made the film feel like it was 3 hours, not 1hr15. The chase scene, in particular, was so unbearable that I almost burst into tears. Despite not being the easiest of watches, Lupino provides something bold and ahead of its time. The doubts and victim blaming that, unfortunately, lingers in rape culture is absent here. To be able to produce a film that explores rape like this, during an era where it wasn't heavily discussed, is phenomenal.",3.5
"ann, we all have to stop running sometime. we have to face ourselves. and look at the world all over again.
é triste demais conhecer esse choro de dor da ann porque me acontecera a mesma coisa. chorei tanto que meu coração se despedaça só de pensar. e o pior: nada mudou de lá pra cá. e por que?",5.0
"God, how I wish classic cinema had more women’s stories directed by women. Everything is done with such powerful sensitivity and understanding; no man could have told Ann’s excruciating story so lovingly. Powers and Andrews are phenomenal and Lupino, I adore you already.",4.0
"Ida Lupino's best film. A deep and troubling work, that puts a sexual assault in the context of 1950's Patriarchal society. Being attacked has constricted her life choices so much more. Brilliant lead performance. DON""T MISS IT, if you can find it. Powerful Noir Cinematography, and camera choices.",5.0
"it's late night. you walk through dark and empty alleys, and hear someone calling you. you start to run and scream for help. it doesn't help. he finally gets you, and you'll be scarred for life. it's a woman's worst nightmare.
this movie is from 1950, but could easily be from 2021 because it — unfortunately — doesn't feel outdated at all. thank god it was directed (and co-written) by ida lupino, she brings a sensibility for a movie that could be exclusively about rape. and, damn, this woman was way ahead of her time. she brings to the table a movie about sexual abuse, sexism, and post-traumatic stress disorder in a time people barely talked about it.
in the end, our protagonist, anne (an outstanding performance by mala powers) knows that it'll be a difficult path but, hopefully, she'll be able to overcome this traumatic experience someday.",4.0
'Attack'. Oh Hays Code.,3.5
"A primeira metade é uma obra prima, tem aquela tensão que o Fritz Lang conseguiu com M, o desenrolar é pertinente com a época, com O Segundo Sexo da Beauvoir recém lançado, ainda não era difundida a ideia de que o estupro é algo inerente à sociedade patriarcal e não uma ""doença"" de alguns individuos como o padre/pastor diz em seu discurso que hoje soa extremamente datado, apesar de ter alguns reacionários que ainda pensam assim. No mais, é um divisor de águas, por tocar num assunto espinhoso dentro de Hollywood com o código Hays, embora enfraquecido, ainda em vigor.",4.5
"Every year I come up with a list of film goals. Directors and actors I want to do a deep dive into. Genres or films from a specific country. I find it to be a good way of eliminating blind spots and continue to increase my film knowledge. 
Anyway, Ida Lupino is a filmmaker I’ve long wanted to get acquainted with. I’m familiar with her work as an actress, but never ventured into her career as a director, which some hail as the output of an auteur yet to get her due.  
After watching Outrage for the first time, I can say Lupino’s third film was light years ahead of its time and it’s probably a miracle RKO didn’t balk at releasing it. In 1950, a film dealing with the sexual assault of its lead, a young bookseller named Ann Walton (Mala Powers, giving a powerful and transfixing performance), was exceedingly rare. Outrage also gives us a powerful look at the damage wrought…crippling PTSD…paranoia…endless victim-blaming. And most critical, a protagonist who outright refuses to let it define her. 
Lupino also takes aim at toxic masculinity (again, in 1950!!) and films a genuinely harrowing scene where a townsman refuses to take no for an answer. Truthfully, I think Outrage has only gained power overtime. It serves a stark reminder to how little has changed in 70+ years since it’s release. This is a technically accomplished and brave film (especially the ending), a prime example of a film in search of a wider audience.",4.0
"Pretty great for what Lupino managed to convey regarding Powers' Ann's tumult in the wake of a vicious attack as per Hays limitations, from skirting special ""There, there"" treatment by the townsfolk that pity her to an impulsive and distressed trek to a countryside idyll wherein Tod Andrews' Reverend ""Doc"" Ferguson lies in wait as her temporary life coach and savior. Aptly highlights what's wont to drive the reeling Ann to escape, i.e. the aforementioned and idea that one minute the perpetrating animals are apprehended, the next they're back on the street as she gradually gives in to a patently more civilized individual's methodology involving falling apart before picking up the pieces as a life necessity. While Doc - a capital G *good* man - is unequivocally both the who and what Ann comes to lean on as she grapples with the total upending of life and self as she knew them, there isn't much to gripe about in the realm of problematic representation as Lupino employs his gently mannered disposition as an absolute foil to the initial act's perpetrator whilst Ann hurdles psychological and public opposition on her way to deserved complacency.",3.5
"So much violence and neurotic madness. A vicious film that finds the strength needed to move on in the only places possible - faith, nature and the other.",4.0
"After watching The Bigamist, this is the second Ida Lupino-directed feature I've seen that was tonally adventurous and thrillingly directed until it gets to the final courtroom scene that uses 10 minutes to explain a moral thesis to the viewer. I'm sure this is for Hays Code purposes of explaining to the audiences who perhaps aren't ready to wade into murky moral waters but they are unfortunate add ons nonetheless.
Prior to said court scene, I marvel at the way Lupino uses hands in this movie. For a movie about rape that never uses the word rape Lupino expertly uses space throughout Outrage and it's the hands of men that constantly block a woman's freedom. Outrage opens with Mala Powers running through an open square with freedom of movement. She is picking up two pieces of cake for her and her sweetie on their respective lunch break but before handing over her order the soda jerk withholds it, asking her to consider him as her boyfriend next week. When her boyfriend places his hands on her shoulder and pulls her in close, Powers whispers—suggestively—about the gravy she's cooked for their fried chicken dinner, she leans in for a kiss but her boyfriend pushes her away because a granny is watching them and doesn't approve. Her sexual agency is denied because it's for a man to push for and determine when is a good time, even though he loved hearing about that portion of gravy she's going to serve him later. It's the soda jerk's hands that unbutton his shirt in a revealing letting-off-steam moment before he yells, ""hey beautiful"" at Powers on her walk home. And it's Powers hands that lay on a car horn attempting to get the attention of anyone nearby before she is raped by her follower; she does get someone's attention above but they just close their window in an annoyance at the sound of the horn blaring.
Once word of her attack has been whispered through the town, Lupino uses her camera to catch glances and concerned awareness that now blocks her previously free movement through town; the man who would marry her shakes her with both hands when she says she no longer wants to. When she runs away and passes out on the side of the road Lupino expertly has created distrust in her new savior because he blocks her exit from his room by placing his hands to the door frame and then immediately puts his hand on her shoulder to calm her down. The same male hero of this movie is presented as someone who has to earn Powers and the audience's trust, much counter to the normal introduction of the male hero in early cinema. And Powers will be reminded again why when she goes to the county fair and a man determines that she will dance with him and kiss him simply because that's what he wants.
Now, the areas where this movie falters also feels entirely out of Lupino's hands. Such as the Hays Code ending, the inability to use the word ""rape"" and/or rapist due to said Code, and the title of the movie. It's funny how Lupino, a great actress in noirs, essentially has to have a manly noir title for all the films she made for RKO even though only a few of them were actually noir. Rape and societal response to the crime of rape is indeed an outrage, an internal scar for the victim (here worn on the outside by her attacker), but the title to the movie doesn't really make sense as this is an exploration of physical withdrawal not hell-bent revenge. And unlike a few other films from this period that had an obvious tacked-on ending, this one wouldn't have been satisfying if it just ended with the court scene discussion for ten minutes. So everything just kinda ends in a swallowed hiccup. But the first hour is extremely nuanced in the visual representation of prohibited and invaded spaces where a woman once roamed free. And the outrage that she no longer can to the same extent.
Actually, maybe the title isn't that bad then.",3.5
"A really hard one to rate, as Lupino's work always seems to be. The three of her films I have seen all had interesting points of view that it would be easy (and possibly correct) to put down to her gender, this and the Bigamist shine an interesting light at 50s society and tackle things that most films of the period don't and showed moments of visual flourishes that are genuinely interesting whoever directed them. This and The Hitchhiker have scenes filled with first rate Noir stylings (more consistently in the Hitchhiker but the first act here as well).
In between and away from Lupino's position as a trailblazer they largely feel like pretty competent and standard 1950s fare rather than anything else. And that is presumably what Lupino was aiming for, to show that she was a competent working director who could take and deliver a job the same as anyone else. The fact that she does so with so many points of sociological interest as well is probably a bonus. I don't feel it's really unfair to her to watch this and feel that in a lot of ways its just a regular 50s film that you wouldn't be watching 60 years on if it wasn't for her historical position, based on some of the acting, dialogue and visuals it would probably be a 2 2.5 star movie, some of the second half of the movie was quite hard to get through..
But it is a very interesting movie in a lot of ways, its depiction of attitudes to rape and it's aftermath are fascinating. It's tempting to say they are forward looking or ahead of their time, but I think that gives too much credit to more recent decades and that it's probably more correct to say that they more likely the result of having a female director in charge of what we see and hear and that the rarity of that is what makes their attitudes stand out. That these views would seem a lot less ahead of their time if we'd just got to hear the views of a lot more women of 1950, if more stories had just been told by people who had an idea of the fear and impact of rape rather than seeing it as something to be erased or (in later decades) used as titilation or as revenge motivation for men.
So you end up with something that, in truth with a few exceptional scenes, largely looks like formulaic 50s TV but contains ideas and attitudes totally different than everything coming out of formulaic Hollywood. That Lupino might not be extraordinary visually but that she does bring an extraordinary viewpoint, presumably not one 'ahead of it's time' but actually the silenced viewpoint of the women of her time.

the final film on my 52 films directed by women in 2016
letterboxd.com/owene73/list/52-films-directed-by-women-in-2016/",0.0
"Ida Lupino was a marvelous actress, but perhaps even a better director. She might have been given more resources nowadays, but even with low budgets and relatively minor stars, she made extremely powerful films. This may be the best, a gritty, extremely modern tale about the rape of a young, pretty woman in a small town and the failure of society to in any way to prevent the rape or help her deal with it. The police want to catch the rapist, but they are pushy and insensitive in their questioning. Her fiancé wants her to know that he still loves and desires to marry her, but he is almost violent in his attempt to convince her, scaring her further. Her family doesn't know how to speak to her, resulting in awful silence, while the rest of the town is obviously gossiping or awkward in their consolation. Eventually, she runs, heading for nowhere, just needing to escape. And going untreated, she panics when another man makes an unwanted advance and nearly kills him in her terrified response.
Mala Powers plays the main role of Ann with a great deal of pathos and depth of understanding for her emotional and psychological state. This was her first major film part, and she would also play Roxane in Cyrano de Bergerac, probably her best known part, the same year.
Ida Lupino's touches are throughout, especially in the scene where the rapist pursues his terrified victim through what should be familiar streets, but are twisted by the knowledge of the darkness that is closing in on her. And how many directors would dare take on not only rape, but also the misogyny of America, especially as it manifested after World War II? Women had experienced some freedom during the war, but they were re-constrained afterward, even tighter than before in the 50s, when good little women were housewives and mothers, letting the menfolk handle everything else. And that leads to a stranglehold on every part of women's lives, including sexuality, so that even the word rape could not be used in the film.
TCM showed this far too little known film at the Classic Film Festival in Hollywood in 2018 at the Egyptian Theatre. It is a shame it has not been released on DVD or Netflix, so more of the world can watch and marvel at a film so far ahead of its time and so good still today.",4.5
"Ida Lupino’s B film noir Outrage tackles rape and its impact on the victim, physically, psychologically, and socially, albeit in the cultural vernacular of 1950’s Hollywood in which none dares speak its name. Only the second film since the pre-code era to deal with the issue, Lupino’s daring is hard to see without context.
The stalking scene leading to the attack is pure visual noir: Expressionistic shadows, angles, pursuit, fear, darkness. Mala Powers runs from her masher/stalker/rapist, out of a world of happiness, marriage, and family and into back alleys of terror and isolation.
This excellent sequence is not matched in the latter part of the film, which follows Powers as she runs away from her family, job, and fiancee to the rural countryside, a new identity, and a job in an orange packing plant.
The story, co-written by Lupino, lacks real vim, and her “rescue” (from herself) reeks of paternalism and secular but very pronounced Christianity.",3.0
"1950 Ranking 
The word ‘rape’ is never once uttered but yet Lupino even within such constraints successfully conveys the horror of her protagonist’s predicament. I really wish she had gotten to work within a less censorship-heavy system but nevertheless this is very powerful, important work that is perhaps the best I’ve seen of her work yet.",4.0
"Absolutely groundbreaking at the time from Ida Lupino. That scene was traumatic, and it builds on the effects of the mental torment such an experience would create. Might feel dated today, but this was a time they didn't really talk too much about the affects of rape, so it was an important message to speak out on.",3.0
"""Um outro ponto de vista psicológico que merece destaque especial é aquele no qual Ann deve identificar o seu estuprador na polícia. Em um momento brilhantemente montado, o policial vai perguntando para ela, de maneira insistente, se um daqueles homens é seu agressor, até que os planos de seus rostos vão se sucedendo rapidamente e ela finalmente grita que não consegue reconhecer seu rosto. Vários momentos depois, quando um homem tenta agarrá-la no campo, a montagem também confunde seu rosto com o do estuprador original. Assim, utilizando-se de uma técnica cinematográfica (a montagem), Lupino passa uma ideia muito clara que permeia todo o ideal de sua obra, que inclusive está muito bem apontado pela própria tradução brasileira do título: O Mundo Todo É Culpado. Nunca se tratou de dar nome ou rosto ao estuprador, de individualizá-lo, mas de reforçar que se trata justamente de um mal coletivo, de todo homem como potencial ameaça. ""
Crítica completa no Plano Crítico",5.0
"La escena de la persecución es increíble. La soledad de la calle simboliza el desamparo de las mujeres en aquella época, en una sociedad que las abandona y las juzga. Ann toca la bocina como grito desesperado de ayuda, sin embargo el vecino (en representación de la sociedad) le cierra la ventana.
Para la época, la forma de abordar un tema tan fuerte (sobre todo para aquel entonces) como la violación es más que acertada. Qué mujer admirable que fue Ida Lupino.",4.0
