Comentario,Nota
"there's an offhand moment here where Stanwyck looks at MacMurray and softly says ""Gee, you're sweet."" and it melted me across 70 years and through my TV.",4.0
"a perfect movie w/ 2 flaws: the racist treatment of rufus and fred macmurray eating his sandwich with his leather gloves on...like, directly touching the bread smh
35mm. Film Forum.",5.0
Barbara Stanwyck with shiny tears in her eyes like if you agree,3.5
"The message of Mitchell Leisen’s “Remember the Night” is simple: love conquers all adversity through its depth of kindness. 
The structure of the film, though, is remarkably intricate for a movie that seems to at first sell itself as a home for the holidays romance. 
Perhaps - because it carries all the personal complications of the talented cast and crew involved in it. 
“Night” was the last screenplay penned by Preston Sturges before he took up the director’s chair for himself — driven to do so after being irate at the liberal cuts that Leisen had made to his script. Sturges likely took the hacking personally, having based the plot somewhat off a brief but intense elopement he had with an heiress whom he met and fell in love with on the road to Palm Springs.  
As for the film’s stars, Barbara Stanwyck as a hot-handed thief quite literally steals the movie from Fred MacMurray, whom Leisen reworked into a morally upright supporting lead to Stanwyck’s emotional center. 
It was a crime that no jury could convict. 
Stanwyck, true to form, turns in a performance of magnitude and pathos - despite working in the sometimes frothy realm of romance. 
Just as Sturges had written one of his own life interludes into the script, Stanwyck brought her own background to the front of the lens. Portraying a woman so shattered by a loveless upbringing that she ran away from her family for a self-destructive pattern of theft, Stanwyck… could no doubt relate. 
While the straight arrow Stanwyck never turned kleptomaniac, she was raised in Brooklyn as an orphan, after her mother died following a streetcar accident and her father left to Panama never to return. 
“Night’s” greatest scene, then, and possibly one of the greatest in Stanwyck’s entire filmography, depicts a Midwest Christmas morning. Surrounded by family, surrounded by love — Stanwyck allows the comfort of the welcoming and kind surroundings to engulf her. 
Only to realize … this, also, is not the type of home for her. And it never will be.",4.0
the ending is rushed and kinda strange but i can forgive it because i’m just always so amazed by barbara stanwyck doing literally anything...combing her hair and pensively biting the comb? show stopping. maneuvering around a cow so fred macmurray can milk it? incredible. staring off into the distance and then bursting into tears? amazing. i love her and her broad shoulders and crazy hats.,3.5
"*MINOR SPOILERS*
I watched this on the big screen for the first time last night. It’s still the greatest movie I’ve seen: a witty, knockabout Preston Sturges comedy (his last script before becoming a director) that slips gently into an extraordinarily powerful articulation of romantic love: romantic love as both the saviour of and ultimate threat to family, career and existence itself.
Fred MacMurray is an assistant D.A. brought in to win a case against shoplifter Barbara Stanwyck. After forcing her case to be postponed till after the festive season (leaving her in the clink over Christmas), he has an attack of conscience and gets her bailed out, and soon they’re travelling to their home state of Indiana together, as their frosty relationship begins to thaw.
Combining Sturges’ comic smarts and sly sentimentalism with the lushness of director Mitchell Leisen’s visual vision, it’s a heady concoction in which the imagery – a Gothic, lamplit house; shooting through streamers at a New Year barn-dance; silhouettes against Niagara Falls – perfectly complements the action, in which each of the supporting players (Beulah Bondi, Elizabeth Patterson, Sterling Holloway) has one truly great scene with which to comprehensively nail their character, and in which Stanwyck exhibits the most refined strain of that incandescent, beguiling sensitivity that for a short time made her the most important actor on the American screen.
Incredibly, MacMurray matches her every step of the way, the pair generating an intense chemistry of which most screen couples can barely dream – no wonder they were re-teamed for Double Indemnity, many film fans’ contender for the title of Best Noir Ever Made (I’m more of an Out of the Past man, myself).
Every time I watch it, I find something new to make me laugh or cry. Here it was MacMurray’s petulant cry of “Those jurors are gabbing again” (laugh), as he takes an unusual approach to the climactic court case. And then there are all the elements that reward time and again: former lawyer Willard Robertson as a ridiculously OTT defense attorney; Stanwyck and MacMurray’s meeting in the apartment, her very genuine sardonism put to great use; the running gag about her defence of ‘hypnosis’; her heartstopping “You bet”, when he tells her he’s a lucky man to have the family he does, huh; the musical interlude in the parlour; Patterson’s line about her engagement; the moment when it dawns on you that Sturges is preaching on the malleability of human behaviour, one of my pet themes; and the night-time chat between Bondi and Stanwyck – a raw, captivating, unusually mature and effortlessly judged piece of cinema. And then there is the denouement, a Niagara Falls/courtroom one-two that sees Sturges take every duplicitous restriction of the Hays Code and work it in his favour, as only he could.
There’s a black valet who’s a bit thick, a running joke about Sterling Holloway yodelling and an oft-maligned hair bow for Stanwyck, and you’re welcome to sneer, smirk or raise alarm at them all you want, but - for me - everything that happened in cinema up to Remember the Night was just a rehearsal, and nothing that’s happened since has been half as good.",5.0
"Perfect constructed Sturges script. I know he suposedly disliked Leisen direction for being far too soft, but it has a very good balance of the Wilder-like irony of the basic situation and the redemptive romance and the film let both sides feed each other. And there's Stanwyck at her near best. And as lovely as most of this is, it has a very bitter logic that the entire wallk through the past sets up with movie magic only doing enough to allow the lovers to escape themselves (and on this McMurray usual stifness is very well deployed).",4.5
"67
A melancholic christmas classic. As usual, Barbara Stanwyck sweeps me off my feet.",3.5
"90/100
Second viewing, last seen 1993. Remembered it as lightly enjoyable, and one could readily imagine a version of this story that's more overtly comic. Indeed, the basic scenario—representative of law and order travels with criminal; one of them awkwardly visits an estranged relative; they grow close enough that Mr. Law (who'd been looking out solely for his own professional and financial interests) ultimately seeks to let the crook get away—was recapitulated decades later, minus the romance, via Midnight Run. Instead, Remember the Night turns startlingly dark for a moment, with Lee's attempted maternal rapprochement cruelly rejected, before shifting into a lovely, heartwarming portrait of restorative kindness...which then itself takes an ugly turn as Jack's mother ever-so-sweetly asks the wounded bird she's been tending to please fly somewhere far from her respectable and hardworking son. Sturges and Stanwyck would perfect this sort of thrilling tonal whiplash the following year in The Lady Eve—and that's the (even) greater film, in my opinion—but Leisen contributes purely visual aspects that Sturges, for all his genius, was never remotely able to match. Certainly there's nothing comparable to the shot of Lee sobbing on her mother's front porch, during which Leisen has Mom peek out the window, deep in the background, and then just switch off an interior light and vanish, rather than emerging to patch things up as one might expect. A truly disturbing moment that subtly enriches an otherwise one-dimensional character without ever calling attention to itself. Apparently, Leisen also cut a lot of the snappy patter that Sturges had written for Jack, fearing that it was beyond MacMurray's capability...which now seems patently absurd, since MacMurray and Stanwyck arguably set the standard for high-speed badinage just four years later, but probably better served this particular picture (just as The Lady Eve wouldn't work with a scabrous wit in Fonda's role).
Yet there's still plenty of vintage Sturges here—most notably in the opening reel, which hands the minor character of Lee's attorney an epic opening or closing argument (it's not clear to me which) that revels in escalating lunacy and remains blithely unconcerned about taxing the viewer's patience. Plotting's uncommonly strong, often creating and then subverting expectations; an entire sequence exists solely to divert Jack and Lee through Canada on their way home, but while Leisen gets a gorgeous Niagara Falls clinch out of it, Lee winds up passing on Jack's suggestion that she thwart the U.S. justice system simply by remaining outside of the country's borders. And having complained a few months ago about Kramer vs. Kramer's ludicrous custody trial, I was very gratified indeed to see a movie made four decades earlier employ that sort of witness badgering to an actual purpose, with the attorney deliberately trying to make the jury despise him so that they'll acquit the woman he's ostensibly trying to convict. (If you can watch Lee suddenly grasp what's happening and not need to brush tears away, you're less of a sap than yours truly.) I could perhaps wish for a slightly stronger finale, meaning literally just the last few seconds—what we get's a tad prosaic—but here I've been gushing for two full paragraphs without even mentioning Beulah Bondi and Elizabeth Patterson and Sterling Holloway, who collectively manage to make ""common"" decency seem genuinely inspiring rather than saccharine or like a rebuke of those self-obsessed city folk. ""I'm pretty lucky, huh?"" Jack asks Lee, vis-à-vis the warm bosom of his family, and Lee's quiet ""You bet"" pierces because we've just seen her endure the opposite. Only a great movie would then have one of those same people gently stick the knife in, leading to an unhappy happy ending.
(If you somehow require further prodding, note that the Coens outright swiped Stanwyck's line ""That gag's so old it's got whiskers,"" giving it to Bruce Campbell in The Hudsucker Proxy. Also I watched this on 30 December, which is ideal; entire film takes place between Christmas and New Year's, basically.)",4.5
"70th Review for The Collab Weekly Movie Watch
In this Christmas film starring Barbara Stanwyck and Fred MacMurray, a thief is caught and placed on trial, and the assistant district attorney, fearing that the jury will let her go free because of the goodwill of the season, has the trial postponed until after the holidays. However, his good nature gets the best of him when he decides to bail her out of jail since he feels awful that the girl will spend the holidays locked up. However, his actions ""backfire"" when the thief is placed in his care. This relationship develops into something more, and the two discover the value of love, friendship, and festivity.
Written by Preston Sturges (his final screenplay was for someone else), it is full of amusing moments, a writing that blends the cheesy, the saccharine, and the screwball in a coherent and enjoyable way in a film that will make you laugh at the numerous witticisms and drop a tear or two at the occasional revelation. Fred and Barbara, in particular, give strong performances; they have natural chemistry and do a great job bringing their characters to life.
All in all, even though some of the comedic segments didn't work for me and it can get a little melodramatic at times, this is still a great movie that you should watch during the holidays or any other time.
TODAY SCHEDULE
Happiness Runs
The Rite
Remember The Night
Glass Onion: A Knives Out Mystery",3.5
