Comentario,Nota
“of course i support men’s rights. men’s rights to shut the fuck up.” - ida lupino,3.5
"""When a man, even with the best intentions, breaks the moral laws we live by, we really don't need man-made laws to punish him.""
I hate to saddle the only female director in the film noir universe with the ""sensitive"" descriptor, but it's one of the first words that come to mind when considering this. Lupino has such sincere empathy for all of these characters, and this has to be one of the most dramatically ambitious movies of the studio era for the way it sets up a situation for which no emotionally satisfactory resolution is possible, then follows it to the bitter, unsatisfying end.
In its own way, this is almost as tense and suspenseful as The Hitch-Hiker.",4.5
"In the Code-era, a film like this should really not have ended this way. The implications of it are far more complex than I would have expected of a film forced to punish bigamy (though I assume it would have probably done so anyway). It dares to hint that love might be more complicated than marriage, and it has a fairly strong condemnation of the hypocritical view of adultery vs. bigamy (though it seems to suggest condemning adultery more than loosening the condemnation of bigamy). I feel like I am spoiling it, so I will stop the roundabout analysis. Suffice to say, the film's view of love is more intelligent, if not the ideal I'd like, than I expected.
52 project: 51/52 *
* One film not in database will be added as soon as it shows up, hopefully.",0.0
"even as ur thinking 'this guy is freakin idiot,' the performances + feelings conveyed are entirely convincing...ended up being more modern and ambiguous than i was expecting!",3.5
"""I never expected to see Phyllis again, but I knew I'd remember this day—when two strangers helped each other through a lonely Sunday.""
Though by 1949 Ida Lupino had already assumed the remarkable mantle of being the only woman directing theatrical features in Hollywood (with Dorothy Arzner having retired from filmmaking in 1943), she staked a further claim to history in 1953 with The Bigamist—in which Lupino became the first woman to ever star in an American feature film of her own direction. In a brazen demonstration of the proverbial dictum to ""write what you know"", the screenplay fashioned by producer Collier Young (with Lawrence B. Marcus and Lou Schor) provocatively excavates biographical details regarding his former marriage to Lupino as well as his current marriage to her costar Joan Fontaine—though interestingly their corresponding roles are inverted in the film.
One of a few notable noir elements that make their way into this winding melodrama is its non-linear structure, with the present day serving as a framing device and the majority of the narrative being conveyed via flashback. The film begins with the married San Franciscans Harry (a chunkier than usual Edmond O'Brien) and Eve (Fontaine) seeking to adopt a child. Following a cursory interview, the congenial Mr. Jordan (Edmund Gwenn) seems ready to approve a new addition to the Graham family until having misgivings about Harry's conspicuous apprehension at the mention of a background check. In fairly short order Mr. Jordan tracks Harry to an undisclosed Los Angeles pied-à-terre that he supposedly keeps owing to the frequency of business travel, whereupon Mr. Jordan discovers the presence of an additional family complete with newborn child! The disgusted adoption agent's first impulse is toward immediate legal action, but an evidently contrite Harry convinces him to first weigh his tale before blowing the whistle.
The film not only revolves around Harry but also assumes his psychological perspective in the form of his subsequent narration. Through this irrefutable prerogative he implies that when informed of her infertility Eve was overcome by a bitter feeling of emptiness, which she channeled into an occupational diversion by joining Harry at his business. And though he concedes that the business doubled its profitability shortly thereafter, his discontent is nonetheless evident in the terseness of his closing remarks on the subject, ""Our marriage had become a business partnership."" In keeping with the mid-century obsession over pop-psychology, Harry seems to ascribe their marital woes to a sort of Nietzschean ressentiment on Eve's part. For what it's worth, this viewer felt it was Harry's palpable sense of emasculation that poisoned the well (this feeling was only reinforced later by his shameless proto-Hannah and Her Sisters justification that his philandering stemmed from an unmet desire to feel needed).
While killing time on a Beverly Hills tour bus one day, Harry awkwardly attempts to entice a strange woman who at first puts him dead to rights (""If this is a sample of your work, you're not very good at pickups"") but with persistence relents somewhat—pretending to make a lunch date with Harry while in actuality he walks her to work. What of course emerges between Harry and Phyllis (Lupino) is a coyly platonic bond that inevitably turns sexual. Naturally Harry's intention is to come clean with Eve, but he just can't find the right moment—especially once her father undergoes a debilitating heart attack—and instead agrees to adopt a child together, privately resolving to recommit himself to Eve.
But wait! It turns out Phyllis is pregnant, thus compounding his matrimonial infraction to the nth degree as well as necessitating a secret marriage to legitimize the child in the eyes of the law and such. Having now married Phyllis, Harry feels even more of an imperative to bring Eve up to speed on the updated facts of their married life—namely that he wants a divorce, notwithstanding all that she has done for him. But with the passing of Eve's father Harry once again judges the vibes too adverse for a confession, so he resolves to navigate both marriages in secrecy until such time as Eve establishes legal guardianship over their would-be adopted child—at which point he will seek the long-delayed divorce. Mr. Jordan is fairly dumbfounded by Harry's account, and though he remains ambivalent to say the least, he declines to report his findings to the police. This detail proves immaterial however, as the police are nevertheless awaiting Harry on his return to San Francisco.    
The acting from O'Brien, Fontaine and Lupino is terrific; Gwenn is characteristically hammy, as are most of the strained references to his role as Kris Kringle in Miracle on 34th Street. Young's script sides tendentiously with Harry, which can be extremely off-putting. For instance, witness Eve's apology for reversing Harry's flagging professional trajectory, ""When I learned I couldn't have a child, that's when I became the little efficient, white-collared girl—I forgot some things."" Just the same, the film features terrific location exteriors from both of the major cities in question, runs a tightly paced eighty minutes, and is studded with moments of expressive grandeur—like the one directly following the first illicit kiss in which the shadows from the staircase railing parallel the bars of a prison cell. End of actual review.
Near the middle of the film Harry says, ""We're goin' to Acapulco."" What I obviously need to know now is: did Bob Dylan see The Bigamist? It was released in the first week of December in 1953; he'd have been twelve at the time—a feasible filmgoing age. Could it have rolled around in his subconscious for fourteen years and spilled out in a marijuana & Beaujolais-fueled ad-lib fest at Big Pink? If I had the privilege of interviewing Dylan, this might well be among the first things I'd ask him about.  
Some stray notes:
-YOU AND YOUR CLEANIN' UP
-SANTA CLAUS WAS SUCH A DELIBERATE OLD CODGER
-SO HE'S NOT A PLAYBOY—LIKE SOME CORNBALLS I COULD MENTION
-SHE WAS IN ONE OF HER EXECUTIVE MOODS
-VISIT THAT FABULOUS BEVERLY HILLS
-I REALLY DIDN'T CARE WHERE CLARK GABLE LIVED
-I'M JUST CRAZY ABOUT BUS RIDES
-SEEMS I LOST OUT TO A LITTLE FRÄULEIN
-NO, I DON'T TRAP MY MEN THIS WAY
-I HATE TO TAKE YOU OUT OF CIRCULATION LIKE THIS",4.0
"Action! - Female 4 Front: Breaking Grounds With Ida Lupino
One of those creations that, in some way, reflects reality. Essentially, you have a film directed and co-starring Ida Lupino, who directs Joan Fontaine, who at the time was married to screenwriter and producer Collier Young, Lupino's ex-husband. Also, according to Wikipedia, this is the first film of the sound era in which the protagonist directs herself.
The performances are all quite good, with each contributing the qualities that they have managed to cultivate and work effectively as performers by that time. Fontaine is excellent as the career-focused woman with aspirations, but she also manages to convey the character's empathy and a sense of frustration over unfulfilled desires. That scene in which O'Brien's Harry confesses his desire to this other woman to his wife says a lot about these characters, thanks in large part to their performances. Lupino's portrayal as the mistress is intriguing because, rather than passing judgment, the film tackles the issue of adultery and treats it as a more complex and nuanced matter.
All in all, although again it can fall into the melodramatic, thanks in large part to the performances and take on the matter, this is one worth watching.
TODAY SCHEDULE
The Bigamist
Homegrown
Daddy and Them
Babylon AD",3.5
"""Let's not wait, Eve,"" says Edmond O'Brien's traveling salesman to his wife midway through The Bigamist. He's enjoining her to take a trip with him, wishing she'd pull him away from California and the other woman he's been seeing. ""Our marriage is the only thing that really matters."" Joan Fontaine, playing Eve, smiling up at him from her separate bed. She's framed so that she stretches diagonally across the screen, in a shot so tight you can see the sinews in her arms and where her nightgown bunches around the middle. ""I love our marriage,"" she replies, yawning, and rolls away from him and the camera to lie facing the window.
That only describes about ten seconds of this noir melodrama, but perhaps that snippet of pillow talk gives you some impression of the movie's sensitivity and even-handedness. Most of it takes place in flashback, as the title character explains himself to an investigator who's just learned about his secret double life. He details his gradual descent, as mere loneliness during Los Angeles business trips blossoms into a fling, an unplanned pregnancy, and eventually this sordid arrangement. Director Ida Lupino, who also co-stars as the love nest's occupant, extends the salesman plenty of sympathy, but also spares enough time to record the longing on her and Fontaine's faces. No party's pain goes unacknowledged as the film spirals into hushed tragedy.
Despite the bold, tabloid-ready title, nothing in The Bigamist is depicted as especially weird or perverse. As far as the film's concerned, this string of events is a logical outgrowth of people groping for financial and romantic stability in postwar America. It just happens to be expedited by the husband's selfishness in relying on another woman's companionship, and then the cowardice that prevents him from telling either wife. He wants to keep them both living in fragile, unknowing happiness, which might be the most touching and unexpected aspect of the movie. A status quo based on dishonesty can't be maintained, no matter how comfortable it may be, and that's exceptionally heartbreaking to realize.",3.5
"this is either a dull defense of awful misogynist behavior or a very subtle critique of it, a strong argument could be made for either, which is pretty fascinating. it mostly comes across as an indictment of the oppressively busy world that makes people lonely rather than of the man who can't help himself. Edmond O'Brien thankfully comes off as much less of an entitled asshole than he does in D.O.A., and the movie never paints him as some sort of tortured soul in a ""bitches be crazy"" situation who's acting heroic by doing a terrible job of covering his ass (for that plot see: LOCKE). the worst thing this guy does isn't falling in love with someone else, it's thinking the women in his life are too fragile to handle the truth - especially considering his first wife is clearly more capable than he gives her credit for, and this very narrowly avoids blaming her independence for driving him away. that's possibly the closest thing to anything resembling feminism this has to offer, the idea that treating women as delicate objects on a pedestal, in need of male protection, isn't much better than treating them as lesser beings. again, it's hard to tell what this is trying to say, because you know this guy is a selfish idiot but he's also just that...an idiot. not evil, not immoral, just truly in love with two different women and completely clueless as to how to take care of them both (and who could blame any man for falling in love with Ida Lupino?). but the women are equally sympathetic (and more interesting), and it's not much more than a sad situation that got out of hand, and everyone involved will come out broken. the ending is a little heavy handed, with a judge giving a verbal wrap-up explanation that we've all figured out for ourselves in addition to some lame thing about what happens when you disobey society's Moral Code, but there's also a last minute ambiguity that works well. basically, most people are genuinely doing the best they can, but a lot of the time our best sucks.",3.0
"2nd Ida Lupino (after The Hitchhiker)
Part 4 of February 2024
-Marry both of us? But, that's bigamy!
-Yes, and it's big of me, too. It's big of all of us.
Margaret Dumont and Groucho Marx, Animal Crackers
Happy 28th birthday to me, happy 106th birthday to Ida. Ringing in a new year in style with as potent a depiction of loneliness and self-inflicted emasculation as I’ve ever seen. Edmund O’Brien seemed to have a good line on pathetically appealing men in the early 50s, what with this and D.O.A. He’s a man tortured by the spectre of his own uselessness, a weak link in his wife’s chain of successful business ventures; ventures he, in the ultimate act of humiliation, set up himself. Does Phyllis represent a lost soul to cling to or someone to salve his wounded ego, a woman who wants nothing but his presence? Most likely. Harry never means to hurt the modern women he loves, but by not making a choice between them, he spoils it all. He’s despicable and he’s pitiable, but he’s palpably human. Think Micki & Maude but so much sadder.
That tension is beautifully scripted by Collier Young, crafting a melodrama in the pulp noir vernacular that mines Young’s own complicated relationships with the female leads. Imagine working with your wife and your ex-wife two years after you changed partners. That speaks either to a deep maturity or a man afraid of conflict, willing to bend himself into a pretzel to smooth things over. I wonder if he saw himself in O’Brien’s hangdog salesman. Maybe he thought himself a weak accessory to the burning success of his wives, an interloper in their success. Perhaps. Something about The Bigamist’s sympathetic depiction of pathetic decency rings so painfully true that it must have come from deep within him. “Still I felt her closeness”, Harry wistfully remarks in voiceover of Phyllis. By the end of play, he’s put them a thousand miles away.
Lupino in Order:
1. The Bigamist
2. The Hitchhiker",4.5
"Featuring a fiendishly clever screenplay co-written by Collier Young (the ex-husband of director and star Ida Lupino), The Bigamist brilliant lays bare the anxieties of the postwar United States as it encounters the world through the eyes of a frightened man, struggling to find his place (Harry, played by Edmond O'Brien).
Harry's wife Eve (Joan Fontaine, who is so beautiful in this that I want to die) is everything 1950s America was warned against: a woman whose decision to work has stripped her of her femininity, and transformed her into her husband's competition, not his mate. What makes the character of Eve so effective is that we see her almost exclusively via her husband's characterization, reliant as we are upon the narrative he's presenting to Mr. Jordan, Edmund Gwenn's adoption agent. So all of her competence (her cleverness; her ease with business; with men) is framed through his fear and weakness. Eve has become alien to him because she doesn't rely upon him anymore; the danger she poses is rooted in her self-sufficiency.
Perhaps the best scene in the film comes right on the heels of a dinner in which Eve's business acumen shines, one that leaves her fairly fizzing with pleasure at the success she's achieved for the company her husband owns. Her ability and joy are, as ever, a threat to Harry, who wants her to leave work behind, pleading with her to go away with him, because ""our marriage is the only thing that really matters!"" The scene is striking for a number of reasons, including the vast emotional gulf between the two — Eve's success makes Harry miserable; he feels unneeded, and immediately decides their marriage is under threat. It's nearly identical to a scene in 1947's The Arnelo Affair, except there, the genders are reversed; in both films, the conversation opens the door to the straying of the neglected-feeling spouse.
It probably goes without saying, but Harry's characterization of his experience was mirrored all over the US as the country recovered from war, with men coming home to wives who had been running thriving households all on their own. The result was an epidemic of the fear Harry feels, men with a sense of having no place in their own homes.
In the case of Harry and Eve, however, Harry frames everything ""bad"" about Eve as being rooted in her inability to have a child. The fact that she cannot perform this fundamental feminine duty is what pushes her to work — loss of femininity leads to further abandonment of gendered responsibility — and things get better only after she realizes that motherhood is her true destiny. Harry has Eve call it ""selfish"" not to have a child, and tells Mr. Jordan that she explicitly asked for forgiveness for her failure to embrace the duty of motherhood.
From that point on, Eve becomes Harry's perfect wife, needing his support and approval, and dedicating herself to her duties, including abandoning work (just as he'd previously asked her to do) to make sure she could be with him on their anniversary.
The problem, of course, is that Harry has already found an alternate wife in Phyllis (Lupino), a woman who can not only fulfill that most important feminine obligation, but who also needs him and, in Harry's telling, is so devoted that it is she who begs for forgiveness after he strays. To Harry, he's Phyllis' perfect man, always saying just the right thing and teaching her how to love again, after being abandoned by another man hardened her heart. Lupino's incredibly flat delivery of Phyllis' allegedly smitten ""you kill me,"" however, suggests Harry is not quite the prince as which he frames himself; that things aren't as dreamy as he claims. (It's worth noting that we see not a second of Phyllis and Harry together that doesn't come through the filter of his POV.)
The end of the film is fascinatingly ambiguous, expressing sympathy for Harry but also revealing that he was too cowardly to actually confess what he had done to either of his wives. The collapse of his fantasy of masculinity leaves both women on their own, abandoned by the selfishness of a man who had built his identity upon being needed by women.
⏩ 52 Films by Women: watchlist | seen",4.0
