Comentario,Nota
"i really, really, really loved this but i almost killed myself when Scarborough Fair started playing for the seventh time within ten minutes.",5.0
now do you know what a milf is,4.0
"— Do you find me undesirable?
— Oh no, Mrs. Robinson. I think you're the most attractive of all my parents' friends",5.0
"Almost forgot to post this but I recently rewatched this for my podcast and you can listen to my full thoughts here.
I was worried this wouldn’t hold up on a rewatch but it really does. Feels like the first time again every time I watch it. The cinematography is so beautiful, spaces are either too big or too small for Benjamin. Just wanted more Mrs. Robinson. And more than just just three Simon and Garfunkel songs that play over and over again. We get it, you’re going to Scarborough Fair.",4.5
Sorry but I never want to hear another Simon and Garfunkel song ever again,4.5
"100
""Are you thinking about graduate school?""
Listen, I'm not saying the moment where Benjamin and Elaine are speeding down a hellish, pitch-black freeway and screaming about their fears and doubts of the future is still relatable fifty fucking two years later, but it is.",5.0
one of the best endings in cinematic history i think,4.5
watched this entire movie thinking film spelled backwards was milf,4.5
"elaine: are you having an affair with someone?
ben: yes
elaine: who?
ben: ur mom lol
elaine: lol
ben: no but seriously",5.0
why does the mom scream like that ? it’s so scary i swear to god,5.0
"if young dustin hoffman proposed to me while yawing, i would immediately accept",4.5
oh to spend the summer with a milf...,5.0
This review may contain spoilers.,5.0
"100
""Elaine, it's too late!""
""Not for me!""",5.0
"I can’t get over the camera movement. It’s so overdone, yet each unconventional shot is purposeful and visually tells its own story. The best part about this has got to be the prominent symbolism of water. When Benjamin’s fish tank is first framed in, it appears superimposed with him, making him seem sunken underwater. In his family’s sparkling pool, Benjamin either sinks or floats. The confidence about himself and the doubts about his future are what ultimately factor his ability…",4.5
oh to have simon & garfunkel perform the soundtrack to my life,4.5
okay but why do i relate to ben braddock so much this is SO humiliating,5.0
The Saduate (1967) dir. Mike Nichols,5.0
"Mike Nichols, the multi-disciplined artist, passed away yesterday. When I read the news, I was amazed at how accomplished he was. Not only film, but stage and performance as well. He was one of the few who achieved the EGOT. Emmy, Grammy, Oscar, and Tony. In fact, he had more Tony’s than any other stage director. Although he helmed many memorable films, there was none more memorable for me than The Graduate.
I don’t know when I first saw The…",5.0
dude... existing lifelessly for the entertainment and consumption of everyone around you,5.0
"Mrs. Robinson is an incredibly sadistic and layered villain, exemplifying the evil in a predatory relationship as she is perpetually illuding the ignorant and confused Benjamin into doing things that will screw him over and allow her to gain power, cupidity, and contentment in a situation that she knows she has total, dangerous control over.",5.0
entire conflict of movie avoidable had Benjamin made plans to get an MFA in creative writing,4.0
I can't believe I got to see this on the big screen. I can't believe it. I'm still crying. Holy fucking shit.,5.0
"I can review The Graduate in one word:





























































Plastics.",5.0
"doin ur mom
doin doin ur mom",4.0
"young dustin hoffman could leave me on read at 8:15 am, text me at 6:54 and i'd reply at 6:53",4.5
"Decades Project: 1/6 of the 60's
""It's like I was playing some kind of game, but the rules don't make any sense to me. They're being made up by all the wrong people. I mean no one makes them up. They seem to make themselves up.""
The Graduate was so much weirder than I expected, and I don't mean because of all the sex stuff. It was weird in the best way possible. I (wrongly) assumed it would be a…",5.0
"Watching this as a 20 year old in college is so surreal. I first remember watching it 3 years ago when school was canceled and I happened to see it was on Netflix. Now, at what feels like a significantly different time in my life, I see what I was missing. 
The “scuba suit” that is your early twenties is a concept I am unfortunately more than familiar with. Plagued with extreme tunnel vision, surrounded by people you can’t quite…",4.5
"also known as The Graduate or: How Paul Simon Made the Easiest $25,000 of His Entire Career",5.0
"(in theaters)
a man with no purpose, no goals, and nothing to do or believe in could be called a nihilist.
this particular nihilist started believing in things again when he fell in love. he had a purpose. he had a goal. he was seeningly cured.
then it was taken from him.
he fought for it, and got it back. but the last scene begs the question, will it even work?
a woman tried to save her daughter from marrying…",5.0
"One of those youth angst counter-culture melodramas given a taboo romantic sex comedy twist and taken home by one of the greatest comic ennui performances ever by Hoffman. So much beautifully awkward stammering. Most people correctly remember it for the emotive, commercial serenading by Simon & Garfunkel but the Nichols and Surtees Sr. lensing is truly some of the best of its era. All the lyrical anamorphic drifting between blaring, shimmering sun and shadowy, seductive bedrooms… A perfect encapsulation of young, confused, rebellious passion sprinting headfirst into a future that in all likelihood is just as hollow, bitter, and resentful.",5.0
this movie is a big your mom joke. i love it,5.0
I now know where Wes Anderson gets his peppy soundtracks and zooms.,4.5
"If Mrs. Robinson is waiting at the end of it, I can't wait until I graduate.",5.0
"who goes “hmm my son who just graduate from college birthdays coming up what shall i get him? oh, i know! a heavy duty professional scuba suit! he’s gonna love it!”",5.0
"dustin hoffman is goated at saying ""What?""",4.5
"some college graduates don’t want to make future defining decisions, they just want to meet hot milfs in your area",4.0
"Kinda conflicted, because technically it was good, but the story annoyed me so much.",3.0
The Dumb Motherfucker,5.0
"Being an ankle man, I cannot help but love this movie.",5.0
hello darkness my old friend,5.0
Me and the bad bitch i fumbled by fucking her mom,5.0
"Wow how interesting. Perfect writing, acting and directing results in a perfect movie. Who would’ve guessed?",5.0
