Comentario,Nota
"What I love about this film is that Douglas Sirk, the man who was maybe best known for giving women a voice, telling their stories of quiet imprisonment in their 50s households, turns it all around here by introducing us to a man who's struggling with domesticity, and no, not in a ""oh gosh, I really gotta go out there and put my dick in something else"" kinda way, no, Sirk tells this story with the same sensitivity he applied to his ""women's pictures"", and I feel that's what makes this movie unusual and daring. Fred MacMurray's character is a gentle and sensitive man, an attentive husband and a generous father, and his family is obviously taking him for granted. I am completely against the idea that only women are in danger of losing their identity in marriage and family life, men can feel just as unseen and unheard, and There's Always Tomorrow shows us such a man, and as the days pass by we care more and more for him and are with him in his subtle pain that comes to the surface through an encounter with a former employee (Barbara Stanwyck). He isn't looking for a quick adventure or an easy escape, he wants his existence to deepen instead of broaden, he wants to be here, the full owner of his life instead of feeling like a robot whose path is dictated by a set of batteries. He wants kindness and appreciation because he gives kindness and appreciation. And now and then, he wants time to stop, just for a moment, be able to look around and feel certain that this is exactly where he belongs. Home, instead of captured.",4.0
"Vague spoilers ahead.
Douglas Sirk makes movies about suffering. Suffering that is intense and pointed, yes, but it's also suffering that, often, comes from within; suffering that begins only when his characters open their eyes, and realize with horror that they've been miserable for years. Often, external voices (usually, it seems, played by William Reynolds who, for a brief period in the mid-1950s, cornered the cinematic market on loathsome, arrogant sons) enter the fray just as the characters awaken, articulating…",4.5
"Don’t let its toy shop setting fool you. Douglas Sirk’s “There’s Always Tomorrow” is one of the most complex depictions of married life ever written for the screen. 
Barbara Stanwyck, Joan Bennett and Fred MacMurray fumble nightmarishly through the middle stages of partnership and infidelity with a nightmarish quality equal to “Who’s Afraid of Virginia Wolf” and a tragic restraint to match “Brief Encounter.” 
Sirk’s domestic drama lives entirely in the realm of misperception, where boredom or loneliness push a family of five to each write their own narratives to a relationship. 
While the love triangle aspect might tease at soapiness, “Tomorrow”‘ is less about the outcome of the interwoven passions, and more revealing of the desires in those pretending to observe their passing. 
What unfolds is a layered play on gender and emotional infidelity that the script writers from “Mad Men” no doubt cribbed from decades later. 
Douglas Sirk’s work was known in its time for being adored by female audiences and abhorred by male critics. “Tomorrow” is proof that Sirk had a vast understanding and empathy for men and women, for lost hopes, and for unrealized dreams. His is a filmography worthy - finally - of the same adoration in return. 

That’s it for the Sirk marathon! Time to pull out the tissue box and have a good cry over the lot of them... ",4.5
Domesticity is a prison.,4.0
"Another subtle and deeply felt melodrama from Douglas Sirk. Sirk examines the fault lines inherent to the structure of the nuclear family here, where everyone is expected to fulfil their roles perfectly and without complaint, playing out the same routine every day. Cliff is unable to express his middle-aged discontent to his family because they’ve been taught not to care- the family patriarch is expected to be the breadwinner and a bastion of masculine stoicism, nothing else. This leads to…",4.0
making barbara stanwyck cry should be illegal,3.0
"Probably Douglas Sirk's darkest and cruelest melodrama. I'm shocked he got away with it, seeing how scathing it is of heteronormative gender roles and suburbia.
Stanwyck and MacMurray are paired again, teaming up for yet another masterpiece after Remember the Night and Double Indemnity. He's a family man, she's a career woman, and they're both absolutely miserable. They're not miserable because being a career woman is inherently bad, or because having a family is inherently joyless, but instead because of…",4.5
"Yet another neglected masterpiece. An ironic yet moving portrait of American middle-class life in the 50's. Fred MacMurray stars as a toy manufacturer who feels ignored and unappreciated by his wife and children. Alone and despondent, he meets an old flame (Barbara Stanwyck) and develops a friendship with her, but fate doesn't allow him to have even that little bit of happiness. Sirk could do melodrama in his sleep and this is just another example of that. He exploits every dramatic situation to its full potential. He also does a great job visually to depict how trapped MacMurray's character truly is. The shot of the toy robot in the end says it all.",5.0
If I’ve learnt anything from Douglas Sirk it is to never ever have children,3.5
"Last year I attended a high school reunion. My first feeling – beyond a secret desire to discover imperfections in others’ lives equal to my own – was one of vertiginous unreality. The men and women, reflected in time’s less-than-funhouse mirror, appeared as grotesques of my memory of them. No expensively tailored suit could disguise the paunch of the athlete, and multiple childbirths had transfigured the ingenue. These were people mostly healthy, and mostly accomplished: still, none could successfully escape a comparison to bygone youth, and one could’t help but read in the wrinkles something faintly ridiculous. Looking in the mirror, of course, one was merely laughing at oneself.
I had the same reaction to first encountering Fred MacMurray and Barbara Stanwyck in Sirk’s film.
I’d recently viewed Double Indemnity, that masterpiece of youthful double-dealing. Double Indemnity youthful? Yes, I think so: any entangling fatality heading deathward draws along with it the shadow of romance, even if curdled. Eros and thanatos strengthen each other en route to Liebestod, even – or perhaps especially – if the desire schemes, dissimulates, or is laced with well-spoken poison.
A dying man’s cigarette is more glamorous than a living man’s cough.
It’s a different kind of tragedy to have no tragedy at all – merely to outlive one’s youth, merely to be happy in all the acceptable ways.
And so, having elided the decade between Wilder’s film and There’s Always Tomorrow, the first thing that struck me was the inevitable, aging softness about Fred MacMurray’s face, and Stanwyck’s intelligence having hardened so subtly about the eyes.
Both Clifford Groves and Norma Vale have made a success in the world – and both have done so by finding a way to transform pleasure into long, honest work. Clifford’s is the steady industry behind the child’s plaything, and Norma’s the cool acumen behind fashion’s dream of elegance. The necessary inessentials – the recreational, the beautiful – are the products that sustain them: administered, rather than enjoyed, in a symbol of maturity’s increasingly functional approach to the romance that once was its impetus.
The movie came over me more like a patterned feeling or a color than a thought – a color, despite its being shot in black-and-white, though a black-and-white so rippled and deep I wanted to bite through it.
Clifford’s home, despite its well-ordered appointments, is no place we’d want to live: almost every shot is hedged by some imprisoning lattice, or crossed with bars of shadow or metal. Despite having a whole house to roam, we spend most of our time cramped in the entranceway, pinioned among front door, stairs, and telephone – and the effect is not one of open passage, but of criss-crossing energies bottled to the brink. Shadows as deep as any noir swallow up whole portions of the wall – and all throughout, Sirk’s camera, testing the boundaries of its set, prowls back and forth with the coiled vitality of a panther.
In the headiness of this mid-life swoon, you imagine that one of the two must be a trick of the light – the happiness or the despair.
But you’re never sure which.",4.5
