Comentario,Nota
"very unsettling, specifically with sound. lots of very eerie noises going on throughout the entire thing. never felt like i was being talked down to either. a refreshingly nuanced take on greed. ceramics!",4.5
"🎧don't go chasin waterfalls
cuz a sex ghost at the end will seduce you🎤",0.0
"A glorious cinematic feast for the eyes! A haunting tale with supernatural overtones that will beguile you with its powerfully seductive storyline about man's lust for money and power! And how easily they will sacrifice everything truly meaningful to get it!
A masterfully crafted fable filled with consequences, great loss, regrets and redemption!",5.0
"Weep. Ugetsu is Mizoguchi's horror film, a nightmare across this life and the next. A man, dirtied and shirtless, wanders across a burnt landscape. Ugetsu draws on folklore and classic Japanese literature to produce quintessential jidaigeki cinema. It is a departure from Mizoguchi's earlier work, being more expansive and complete, beyond just the humiliation and pain of women. The Life of Oharu represented his previous style perfected. But this is beyond, travelling to the abstract.
Ugetsu is morally and socially complex, with a heart that blackens as it struggles to maintain righteousness. It is about the ethics of war, especially the way women suffer. It is filled with needless, pointless deaths, carried out by unnamed, ubiquitous soldiers. In many ways Ugetsu becomes itself a metaphor for a society that just went through World War Two, however it is also so much more. It is about becoming selfish, with war and money both responsible for changing people. A man obsessed with money will risk life for it. In the feudal capitalist world of Ugetsu, poverty and pain dominate. Kimonos become a materialist sign, used as a status symbol. Yet such joys are fleeting. Success for a poor man concurs with suffering for a poor wife. Life is always two sides at once. All that you have is taken from somebody else.
Mizoguchi's merges dreams into Ugetsu. It is not a film set in reality. It is haunted with a ghostly presence. It is an endless sea of fog and loneliness. A woman must die to save a man. Ugetsu is about nights spent with the spirits, men resting on the bones of those who suffered, of those worth nothing. For those who are dead are those we consider worthless. This film of wise women and foolish men is filled with deceit. These ignorant souls take advantage of those left behind, the widows and the survivors. They abandon love and family in search of wealth and beauty. A woman damns her husband, screaming pain into the sky. The past is not worth celebrating, for we are only its survivors.
Ugetsu tells one of cinema's greatest stories. It emerges like a tapestry, gazing slowly over different parts in a smooth movement. It is a transfer of emotion, taking us through horror, pain, and joy. Though all joy tastes bitter when we unfurl the full picture of Ugetsu. It is the perfect amalgamation of Mizoguchi's thematic tendencies and the best stylings of Japanese cinema's golden age. Ugetsu is constructed with the intelligent, entertaining, broad grace and energy that Kurosawa also imbued within his films. This was an exciting time for cinema, and the old master, Mizoguchi, was still on the forefront on all artistic horizons. The stunning elegance of Ugetsu's cinematography lasts lifetimes. It has sets and locations that have a fairytale quality, yet they are so darkly concocted and drip invisible blood. This is eternal art cinema, transcendent like the spirits.
Kenji Mizoguchi Ranked
My Top Films of the 1950s",5.0
"For a film that remains one of the glories of fantastic cinema, Mizoguchi’s achievement in giving Ugetsu a strong sense of place is remarkable.",5.0
"65/100
This troubles me.
For as long as I've maintained a film log (""Since 1992""), I've made a point of noting theatrical screenings vs. any form of home video. That's because I don't fully trust the latter. The advent of first DVD and then Blu-ray has helped, to be sure, and I'm not one of those zealots who insists that you haven't seen the movie unless/until you've seen a good 35mm print. But I do often wonder, when underwhelmed by a classic that had previously made me swoon on celluloid, whether seeing it in a diminished condition is largely responsible for the shift.
Here's something I wrote on a private forum after watching Tsai Ming-liang's The River twice in quick succession—first on video, then on 35mm. The video version was VHS (this was back in 2001), so the difference was more extreme than it would be today, but my final observation remains relevant, I suspect.
I know I sound like a broken record on this subject, but the difference between seeing this movie on my TV set and seeing it projected was truly astonishing. On the most basic level, you simply can't see what's going on in the darker scenes on VHS; while Tsai's work is always ambiguous, you're meant to be asking yourself ""What's going on here?""—not ""What am I looking at?"" For example, in the shot where we first see the father at the sauna:WHAT I COULD SEE IN THE THEATER• The room's wood paneling.
• A small bed up against the wall.
• A roll of toilet paper sitting on the bed.
• The form of a middle-aged, overweight man with a yellow towel around his waist.
• Another, thinner middle-aged man attempting to caress him.
• The expressions that play on the thinner man's face throughout.WHAT I COULD SEE ON MY TV SET• The part of the yellow towel that's directly in a pool of light.
• The shadowy form of someone else in the room (and that person's hand when it enters the pool of light).But even more significant, ultimately, than the resolution issue is the psychological difference. Shots that seemed dull and static to me on TV came fully alive on the big screen; the entire movie seemed to have more energy thrumming through it. I suppose some of that may be attributable to the fact that I watched the tape late at night when somewhat tired and the print in the early morning following a three-mile walk, but in general I just don't think video's very hospitable to this kind of film. Even if you're trying to concentrate, it's easy just to sort of zone out.
And here's the thing: When I revisited The River nine years later, on video, it seemed less remarkable than it had on the big screen (even as I still thought it pretty terrific). I have no way of knowing whether and to what degree that's attributable to presentation factors. Unless I have an opportunity to see a print in future—much less likely now that I've left New York City—it's gonna remain an open question. ""Like a splinter in my mind,"" as Morpheus would say. [Commits seppuku.]
Anyway, Ugetsu. I vividly remember my overpowering response to this film the last time I saw it, in 35mm, way back in 1996. For whatever reason, it didn't have remotely that effect on me this time. There are still a few goosebump moments—the rowboat moving through the fog, light streaming through cracks in the wood as Miyagi sews—but the film as a whole seemed much less formally stunning than The Story of the Last Chrysanthemum (which, please note, I've only seen on 35mm, not yet having watched the Criterion Blu-ray sitting on my shelf). And its twin tales of destructive male idiocy seemed more simplistic and less wrenching than I'd dimly remembered. (Genjuro's story, in particular, suffered from its similarity to Kwaidan's ""The Black Hair,"" which pushes the scenario into outright horror.) Maybe that dampened enthusiasm simply reflects the evolution of my taste over the past two decades—I've changed my opinion about quite a few movies, in both directions. But it seems equally possible that Ugetsu's power resides chiefly in elements that just don't translate well to pixels. Removing it from my 1953 top ten list caused me psychic pain. Did it get a raw deal? I may never know.",3.5
"Here we have such an interesting watch.
A not very long Asian piece which is able to make you reflect about life, especially when it comes to money, success and family.
Give it a check, it’s worth your time.
I leave you the YouTube link here.",3.5
"Part beautiful morality fable, part haunting ghost story, part war film, part love story, part social period drama, and a full on fucking extraordinary piece of cinema.",4.5
"Ugetsu is based partially from a classic Japanese folklore literature ""Tales of Moonlight and Rain"" by author Ueda Akinari. Upon seeing the film again I really want to venture out and find this collection of stories. Mizoguchi's film brilliantly and flawlessly mixes Japanese folklore and morality tales of war, greed, and consequence into an unforgettable film experience.
Japanese folklore and culture have always been a huge fascination for me. Ever since I begun developing a love for cinema, I had noticed my draw was mostly towards Japanese films and films by Ingmar Bergman. There is just something about the films from Japan, either that or it's a stated fact that Japan is just simply a cinematic prosperous country. As evidence towards that statement, you could just name how many of the greatest directors to ever hold a camera were from Japan, and see what your total would be.
Ugetsu is no exception and it was originally my first film watched by Kenji Mizoguchi. On my first viewing I knew I really liked the film and technically could see how it was considered a masterwork, but ultimately I felt disappointed for the sheer fact that I alone could not agree with the statement. I assume my expectations were too high. Over time and many movies later I kept finding myself thinking back on Ugetsu (this is the mark of a great film). Slowly as it processed in my mind over months of time, I began to realize what a great film it was. Thus, here I am, ecstatic to give it a re-watch and see if the long contemplation on the film pays off, and it did. It only took two viewings almost a year or maybe more in between each other, before I finally considered this to be a absolute masterpiece.
The film's core is heartbreaking, the morality tale on display is simple and one could see the downward spiral that the actions of the main characters would take them. However, it was still difficult to watch and despite Genjuro and Tobei falling into the traps of greed and desire, there is still much sympathy for them. The end of the film, this second time around, really gripped me emotionally and I could not help but shed tears for Genjuro. It is that impact of a person who makes mistakes like we all do, but sometimes at their worst, they cause permanent consequences and having to deal with the decisions we made, and the regret we have to live with. The way Mizoguchi portrays this on screen is something of extreme power.
It seems either way, if a person likes or dislikes this film everyone agrees on one aspect and I wanted to add that in here too, that the cinematography is some of the best black and white in display on film that ever existed. I can sincerely guarantee you on that. Ugetsu is one of my favorite films of all time and it receives the top score from me.",5.0
"feels like there's no one more misandrist filmmaker than mizoguchi, all the men in his films that i've seen are such pathetic bastards, consumed by their own cowardice and idiocy, meanwhile the woman bear all the consequences of those sins AND the responsibility of forgiving them. of course there's an immense melancholy at the end of ugetsu, but it's only obtained after an immense series of follies and mishaps... perhaps mizoguchi is being optimistic here, though. there can be learning through suffering, if we're open to hearing the lessons we need to hear.",5.0
