Comentario,Nota
"Hokum and psychobabble. Also really nice to see Richard Conte playing something different than a cop or gangster for once.
Not the best Preminger (even at Fox) but his most fun (in a guilty pleasure sense), as the serial masochist director and best Mr Freeze (why were they both Austrian???), again torments Gene as his victim, but this time psychologically. The cruel irony of this, is the hidden mental issues Gene battle with, the bipolar depression, the postpartum and issues with her severely disabled child.
The notion of psychology caught on after the Second World War in the US, with the influence of Freud's theory and its use in advertising, however psychology and psychological damage/repression in noir always does seem to go to far (also if you are Hitchcock as well) and this is no exception, however this goes way beyond ""far"".
Here we are lead to believe hypnotism can steal a record (the right one in fact when they all seem to be white label when in storage), drive a car across town after telling them directions to the house and memorizing them (as well as the layout of the inside of the house), then be used in a murder and cover up a robbery of $60K. I mean if hypnotism cannot stop people from smoking today, how come 74 years ago it was so potent to do that? If this dude was so good at hypnotism, couldn't he just brain wash Mrs Randle with his Prof X mental ability.
I mean would it have been cheaper and easier to just hire someone to rob/burn the house down and then kill? I mean there just seem to be so many moving parts for this all, I mean being able to lineup getting the operation to ensure this is in sync with the threat of being exposed, training her hypnotically. Also if he was having a gall badder operation, that means alcohol would be an issue, as booze inflames a gall bladder and gives a great risk for a UTI, so is it the right idea to be social and have a few martins before the operation.
Also was this common practice in the 40s/50s of shrinks recording sessions on vinyl, or just Fox films like this and Nightmare Alley as well.
And I think the final issue I have this with this is the police don't seem to care that Gene is a klepto who may be the culprit for a number of outstanding thefts in the area, but the police don't seem to bothered about that.",3.0
"A psychological melodrama from Otto Preminger that isn't afraid to go full on with its dafter elements. It's a film that sees themes of past guilt and trauma wound around a ludicrous narrative involving hypnosis and murder. I've seen Giallo that are more believable than this! Whirlpool begins with a high class lady stealing from a shop, only to be saved by a slimey hypnotist, who seems to want to cure her. Before long she's the chief suspect in the murder of one his former patients, and its really not difficult to see what is going on. The film is carried off well by the director and cast. Gene Tierney's blank expression somehow makes the material more believable - but its José Ferrer who delivers the standout performance as the hypnotist pulling all the strings. He's almost a cartoon villain at times and even comes with his own superpower. It's slow moving and low on mystery and suspense, but still utterly involving in It's own way with plot strands involving the destruction of a marriage and a plan for murder converging together and nicely climaxing with a superbly satisfying conclusion. Whirlpool is absurd and ridiculous, but somehow works in spite of it.",3.5
"[previous review]
Born into hereditary wealth, Ann Sutton was raised to prioritize outward graciousness and the appearance of serenity over all else, learning to cover her feelings and fears with a hard, gracious shell, one so beautiful people fall in love with it, and don't even notice the woman it conceals. Hiding the dangerous, shameful version of herself propels Ann through society, securing her a respected, loving husband, regard from her neighbors and peers, and the authority that women of a certain class carry with them, no matter where they go.
Ann lives her life in response to the direction of others.
""Put your napkin in your lap, dear.""
""Little girls should be seen and not heard, Ann.""
""Oh no, Ann, not him — why, we don't even know who his parents are! What about that nice Bill Sutton? His family is good, and he's got prospects.""
""Ann, don't cry.""
""Oh, but you must visit us in Nice this summer, it's just what you need.""
""Come see me tomorrow, I can help you.""
To each directive, she gives a grateful smile, obeying with the kind of ease born of decades of instinctive, contented obedience. She loves Bill because he's shaped a comfortable life for her, one in which the commands are expected, easy to obey and, most importantly, make people admire her. He makes her fit; helps her keep that stunning, hard shell in place over everything she is.
+
Nothing hurts me.
David Korvo has never had anything. He grew up poor and ignored, a strangely distant little boy, with a stillness to his face that unsettled adults and irritated children.
Left alone, David watched. He saw his father turn his talents (empathy, connection, hypnosis) into a sideshow diversion for his social superiors, putting on a fake turban and an even faker accent for their pennies; saw his father's shame mix with gratitude for the indulgence of those who favored him with their attention; with their money; with their patronage. And he saw the way they looked at his father when his father wasn't watching: the way they laughed at him, mocking his accent, and his clothes, and his manner.
(But they paid him, so David's father kept his mouth shut and took it. David resolved never, ever to be like his father.)
For David, the gifts (tricks, grifts) he learned from father are weapons. He uses them to make precise cuts in those who would mock his father (mock him): those who treated him like an outsider; who would have spit on him, had the opportunity presented itself. David uses the blades of his voice and talents to slice away at the wealthy women in his thrall, seizing control over not only their purses, but also the minutiae of their lives.
They sleep when he allows it; see people only with his permission; go to parties at his suggestion, and at his suggestion alone. And they're grateful for it all.
Every word David Korvo speaks is calculated to further strengthen his authority over another, wrapping them in his rich, hypnotic web to such a degree that it's only David that matters; securing the control that ensures his access to the world to which he's always aspired.
They call him a quack and dismiss his gifts, but he amuses them, too, just enough to bring to parties; to show off like the latest bauble in a string of charms. It makes David's skin crawl to hear the laughter in their voices (to feel the mocking in their eyes), but he opens his mouth and they stop, for a moment. He opens his mouth, and one of them is his: his to use; to ruin; to despoil. Because he can.
+
Your soul can undress in front of me.
When David and Ann meet, it's desperate and it's perfect: a man who lives to control others, and a woman who doesn't exist unless she's told what to do. He is doom in a slick suit with graceful manners, but she doesn't care: because she's sleeping again; because he tells her she's ok; because he'll keep her safe.
Even Ann's suspicions disappear as quickly as they burst into life, assuaged by a single word from David. She doesn't need to believe what he says, only to be told that she's wrong; that he's right; that she's being silly. The moment the words pass his lips, Ann is relaxed again, as trusting and grateful as ever.
But Ann is David's doom, too. She's too perfect — too easy; too willing. He gorges himself on her malleability, abandoning his discipline in favor of volume and expediency. In David's head, there's even a shared future for them, one in which she is his, body, mind, and soul, and does his bidding with a grace so stunning that everyone falls at her feet. The blood dripping from her hands; the pockets full of stolen jewelry; the mind full of David's words (David's will) — all of it remains unseen behind Ann's polished, charming armor.
(David loves her, more than a little bit. For Ann, gratitude and love have always been almost the same thing; what she feels is close enough to love to work for David.)
NB: Please be aware that I love this movie more than anyone else alive. In other words, YMMV. You should totally watch it, tho.",4.5
"The opening shot looks mundanely common but the space and flow into the department store include two moments where what our eyes are trained to see suddenly shift and we follow something else. Perspective becomes misdirection, which moves from the mise-en-scene to the narrative level, a story about the literal control of sight and thus the mind. Routinely dismissed compared to the other Premingers of this era, perhaps because of absurdity of the plot (which is not that different from Gene Tierney's magical entrance in Laura ), but beloved by Godard and Rivette as well as The Cinema McManhon. Perhaps it's because of all the Preminger films it sparks the closest that the film's visual structure is the core essence of the film, and all the ideas surrounding the performance styles and even the narrative itself deviate from this visual idea. It's a film built around deception—of images, of the past, of one own's self. The way Tierney blanks her face in this film is simply an incredulous image; she goes from a character whose eyes seem constantly moving, her face an expressionist canvas, to what seems to resemble a body snatcher; an absolutely lifeless face in which you see the camera driving into her as Richard Conte does, trying to rescue the woman who was.
Meanwhile, this becomes the greatest supervillain narrative ever constructed with Jose Ferrer's malicious performance, a character who always move against the camera, a disordering function in a world where psychoanalysis hopes to bring rigor and structure. Ferrer's manipulations are pulled through his voice, one that sounds just similar enough to Conte's but with a forceful magnetism to make him his opposite. The scene in which he messes with the two glasses is the rare kind that so deliberately messes with expectations of allowing one to see the psychological motivation of any action depicted on screen, only slowly paying off in the second part of the narrative (another great payoff: the simple shot of the police captain's wife's portrait as he makes the phone call near the end; communicated without emphasis).
Preminger's camera swings around, changing and reshaping the power structures of this fight for the soul of a young woman, but in the end, one of the most powerful edits I can ever recall climaxes the narrative. As Tierney slowly remembers with the help of Conte, Preminger frames her in the direct middle of the frame, and then abruptly cuts to a shot of Conte in the exact same position of the frame. It's confusing for a second, it seems as if the two have switching places, but really it's a moment where this husband and wife are finally together, seeing eye to eye and becoming truly one. It's an astonishingly simple visual idea in a film filled with complex emotions, all delivered through a phrase I hate, but I can't help but use: pure cinema.",4.5
"Spoilers ahead.
Cleverly disguised as merely a twisty mystery, Otto Preminger's Whirlpool also manages to include some rich commentary on gender roles, and perhaps even some criticism of traditional American marriage.
From the first moment we meet her, Ann Sutton (Gene Tierney) is malleable and agreeable to a fault. Though she uses initially employs her instinctive class defenses when questioned by a mere store security man, she quickly returns to form when among those she considers her own class, immediately allowing Dr. Korvo (José Ferrer*) — a man she's never previously met — to take complete control of her situation, speaking for her as if she isn't there, and not allowing her a word in her own defense.
When she returns home, Ann illustrates her very traditional position with her doctor husband Bill (Richard Conte), hiding the fear and shame of her afternoon behind empty conversation about the evening ahead, and disappointedly lamenting her inability to help him with his books: ""if only I were brighter, and you could talk to me about your scientific problems."" His response, too, is telling: offering no reassurance about her intelligence or support, Bill instead says ""Just stay as you are — as you've always been: healthy and adorable."" Later, Korvo, too, indulgently refers to Ann's ""stupidity.""
The next night, her position and relationship are presented in the voice of observers, reflecting the same impressions Bill and Ann hold proudly. ""The greatest kick I get when we go to a party together,"" Bill muses, ""is when people stare at you and say, 'Who is that lovely girl?' 'Why, that's Dr. Sutton's wife! She's very devoted to him.'' Their shared pride in being described this way confirms that Ann is the perfect wife, submerging her own identity and needs beneath and into those of her husband.
It also appears that crying, despite being a vividly, distinctively feminine activity, is something Ann has learned is not pleasing to men, and thus should be controlled. So, when Korvo half-jokingly laments her tears of relief for making him look bad, she immediately dries her tears and puts on a smile, getting just the approval she was seeking: a ""that's better,"" followed by, ""thank you."" Virtually the same conversation occurs with Bill later, when they first see one another following her arrest. Her eyes begin to fill with tears, and Bill instinctively says — the first words he's said to her since finding out — ""Please, don't cry."" Obediently, Ann assures him, ""I won't."" Again, she gets the ""thanks"" she's been taught to expect for her automatic compliance.
None of these things has to do with hypnosis — in fact, all but the last conversation with her husband take place either before Ann's first appointment with Korvo, or reflect realities that had long existed by the time he appeared. The strong suggestion, it seems, is that upper class American women are obedient by nature: their gender and class training has made them that way. All David Korvo does to his many female victims (he is, as he smugly tells Bill, ""an experienced man"") is simply position them to lean a bit further than usual into those well-learned lessons and behaviors.
Korvo is a monster, certainly, but in the context of the film, it's only because he harnesses the same feminine compliance so many use to their own advantages, to achieve goals other men find unacceptable. Their own manipulations (Bill's for example, or those of Ann's father) are ""normal"" and therefore not only acceptable, but almost expected, but what David does? That's beyond the pale. It's David who is the problem, not the training of which he's successfully learned to take advantage.
Alongside all of the social commentary, the screenplay by Ben Hecht and Andrew Solt also offers a hell of a sordid little story, painting Korvo as someone whose ease at manipulating women has been used to ends so nefarious the only ones anyone is willing to talk about involve money. The fact that the first thing Korvo does with Ann after he's ensured that his hypnosis can compel her into basic action is to tell her to take his hand, at least suggests he has a whole lot of other things on the menu, something Ann confirms with her stricken realization that ""[Korvo] must have made me do things! Horrible things!""
Even this is given wry comment by Hecht and Solt in David's sanguine assertion that no one, under hypnosis, can be compelled to do anything against their natural moral inclinations. This explains, in his mind why Ann, with her long history of thievery would steal records on Korvo's command, and also allows David to cling to the belief that her transgressions stopped there. After all, anything intimate with Korvo would go against his perfect wife's carefully honed conventional morality, and therefore couldn't possible happen, even under the pressure of hypnosis. Right?
(The blinders carefully donned by 1950s Americans were used to cover many, many inconvenient truths.)
TL; DR: I'm mad at all of my LB friends who haven't demanded that I watch this. It could not be more perfectly tailored to my very specific, messed up fictional power dynamic-related needs!
*Could Korvo's odd manner and sandpaper-dry wit be more obviously an inspiration for Ferrer's kid's performance as Albert Rosenfield 40 years later? It's uncanny!",4.0
"This Otto Preminger noir from 1949 hasn’t dated as well as some of his other films. The female murder suspect in this is ably played by a very glamorous Gene Tierney, but she is poorly served by a script that requires her to be either simpering or confused as she puts up with various amounts of nonsense from her husband, her blackmailer, and the detective.
There’s no real attempt at suspense as the script gives all the information up front – we know what’s going on, so the foolish husband’s short-sightedness is just frustrating. The ending also makes little sense and feels rushed. They spent a long time setting up everyone to be in the same location but then there is virtually no pay off. We’re just told what we already now and ‘The End’!
This film wouldn’t get made today – the female roles are poorly written and wouldn’t get to the first notch on a Bechdel Test. The cast are all good, in particular Jose Ferrer as the evil mentalist, and Preminger’s direction is solid if not memorable. Though I did like the opening shot as the camera pans around the department store before picking up on Tierney.",2.5
"Really dug this slippery film. What a complex, at times ambivalent view on its intertwining issues of mental illness and marriage. Great, great performances from Gene Tierney and José Ferrer. Supremely graceful camerawork and editing that smartly uses misdirection to its advantage. I wrote about the film for my newsletter. ",3.5
"Another 40s film reflecting Hollywood's newfound fascination with the mysteries of the mind (hypnotism, therapy, psychological disorders).
Let's talk about José Ferrer first (and wasn't Miguel the spit of his dad). It is a great piece of casting as he makes a marvellously charismatic villain without being over the top. He has this wonderful mellifluous voice and I couldn't help thinking that his character's vanity is pricked when - minor spoiler! - he hears Mrs Randolph saying on the recording that his once-thrilling voice now disgusts her (or words to that effect).
And what about dear darling Gene Tierney, one of my favourite Hollywood faces. She is beautifully expressive when she needs to be but utilises that porcelain-doll face to great effect when under the influence of hypnosis. And is there anything as gorgeous as G.T. when she has a couple of unshed tears sparkling in her eyes?!
I know Richard Conte is occasionally accused of being a bit wooden (not unjustly) but I have a real soft spot for him and I felt that his stiff, gentlemanly demeanour works well here, especially as a foil to Ferrer's smoothly villainous Korvo.
All in all it's a great example of the psych-noir-melodrama type film. And yes, it may be preposterous in its plotting but that's somewhat par for the course in this kind of film, and is highly entertaining nevertheless.",3.5
"“You need treatment.”
Gene Tierney in the vinyl storage closet, a scene from my fantasies come to life.
Ann Sutton (Tierney) is free, white and kleptomaniac. Also, “healthy and adorable.” When she gets caught up in a blackmail and hypnosis confidence scheme, she goes along with it, so she can sleep. The problem is, all those hypnosis sessions lead people to think she’s stepping out on boring husband Bill (Richard Conte). And the square-headed police chief (Charles Bickford) somehow thinks this frail, confused woman has the strength to strangle a lady with her bare hands.
A bit silly and hollow in how it discusses psychoanalysis and hypnosis in the same way that Spellbound is. A bit of fluff, but Hecht’s script snaps along nicely, especially all the lines given to José Ferrer as the truly evil conman whose rapist energy is off the charts. Said script also features a man being mind-read about his recent suicide, having the cuts on his wrist pointed out in mixed company, and him exclaiming happily: “This man is marvelous!” So it’s a mixed bag.",3.0
"I guess Otto Preminger needed to repeat the Laura dose twice at making another murder mystery turn complex character-study of love affairs and lie-consuming souls, one with cast-recycling Dana Andrews coming back as the main morally questionable leading man in Fallen Angel and now was Gene Tierney’s turn here in Whirlpool, a sort of kleptomaniac-female Noir that soon turns murder mystery by one cryptic swing of glooming events.
BOY, if I though the last Noir I’d seen had a LUDICROUS plot, let an investigative thriller with hypnosis and sleepwalking involved as main key elements, speak for itself!
The entire premise eradicates subtlety by the outset when having José Ferrer as David Korvo running the poor Tierney’s Ann fate into an unavoidable and uncontrollable path of doom caused by her own repressed psychological and emotional baggage. If the plot doesn’t grab you immediately, Ferrer senior most surely does, playing this hypnotist conman with Sherlock Holmes abilities and some hypnosis specialties, a cunning manipulator hidden behind all the charm and passivity.
He’s this movie’s equivalent from Laura’s Clifton Weber’s Lydecker: too obviously a MONSTER that you can’t process how a guy so fine and polite could be the mentor of such horrendous plan and actions; making a poor emotionally disturbed woman becoming his crime accessory, again, VIA hypnosis. Though I sincerely don’t know which is weirder, that or seeing Richard Conte playing a pleasantly sympathetic good man and not a despicable villain in a Noir movie?!
Suspense of disbelief aside, there’s something very gripping about Whirlpool that outdoes its plot’s unraveling, which if you put it in comparison with both Laura and Fallen Angels – at that point Preminger’s best Noirs; is the one most convoluted plot-wise and way to drowned out for it to make any ounce of suspense that everlastingly thrilling. But the defining light of its charm is found around (and once again) in Gene Tierney herself at the movie’s epicenter.
She carries a helpless countenance next to a provocative sensuality; there is always a strange ambiguity about her fragile character. Her truth is concealed under seven keys of screwy in the head and you never know what to expect from her other than follow her through this psychological therapy via life-threatening experience, in which the actress conveys with imposing stance. Whenever she is hypnotized she appears to become a lynx with mechanized movements.
Her instincts are nothing other than her own subconscious getting controlled by a tamer – which makes great dramatic connection to the fact that only by allowing Ann to be understood by an acceptable loving husband that she’s able to find her emotional and psychological freedom by the end. Making the story be less about hypnotic shenanigans and more a good character drama of learning to be whole, not just by accepting who we are, but the path to accepting those we love as well.
However, where I think Whirlpool overlaps itself a bit in its own detriment, is in the over-focus on the concept logic being conveyed to the audience constantly in the narrative, rather than let it play out next to the firm grip of its execution and let it slide naturally. Gene’s presence surely helps and the movie looses flair whenever she’s not onscreen (which is great part of the second-half), but the other great diva that elevates the movie beyond its undercooked material is Preminger himself!
The man just had great hand for evocative dramatization under superb conveyed elegance: his virtuous blocking; the precise conjunction of scenes that never feel anything other than lyrical; the small long takes that you barely notice just took place, conveying precision information (the body reveal is an AMAZING sequence) – that must have fascinated a young Spielberg to so often borrow that technique for himself; anchored under the subtleness of its actors movements on the scenery.
Whirlpool can be convoluted when heavily tries to dramatize its own ludicrousness, but it goes to show how a masterful filmmaker can make a defining difference when putted behind such odd-beat material, but directing it with a conviction of a potent melodrama that makes its graceful actors slide under a floor of evocative luxury and elegance that any Noir movie could’ve wished for itself!
(José Ferrer is looking DISTRESSFULLY alike Miguel here, which almost made me think they were the same actor!)",4.0
